session_name,question,response,course_name
Day 3,worked well for the Data visualization,making plots step by step,NA
Day 3,could be improved for the Data visualization,it was a bit too fast,NA
Day 3,could be improved for the group project assignment,/,NA
Day 3,worked well for the group project assignment,good to combined everything I have learnt in the past three days,NA
Day 3,worked well for the lecture presentations,"I liked the combination between reading, exercises and code-along sessions",NA
Day 3,could be improved for the lecture presentations,more code-along seesions,NA
Day 3,worked well for the Data visualization,All good!,NA
Day 3,could be improved for the Data visualization,All good!,NA
Day 3,could be improved for the group project assignment,all good!,NA
Day 3,worked well for the group project assignment,all good!,NA
Day 3,worked well for the lecture presentations,all good!,NA
Day 3,could be improved for the lecture presentations,all good!,NA
Day 3,worked well for the Data visualization,Very interesting and important topic! Everything was good.,NA
Day 3,worked well for the group project assignment,The difficulty level and the amount of work per time.,NA
Day 3,worked well for the lecture presentations,Amount of information and length.,NA
Day 3,worked well for the Data visualization,"Interesting, well structured and -paced.",NA
Day 3,could be improved for the Data visualization,Maybe a bit more about scaling things in the graphs and changing colours as we want (not according to a theme)?,NA
Day 3,could be improved for the group project assignment,"Clearer ""make one table like X"", ""include X, Y and Z as a figure"" – now a lot of people made the same figures and it took a while to get started with the task.",NA
Day 3,worked well for the group project assignment,"Fun, interesting to collaborate in real time.",NA
Day 3,worked well for the lecture presentations,Nice pacing with mixed reading and exercises,NA
Day 3,could be improved for the lecture presentations,Clearer breaks and scheduling,NA
Day 3,worked well for the Data visualization,"Good pace during the ""follow the instructor coding""",NA
Day 3,could be improved for the Data visualization,Maybe a few more exercises during this session,NA
Day 3,could be improved for the group project assignment,A few more optional and more specific/advanced sub-assignments,NA
Day 3,worked well for the group project assignment,The workload was good,NA
Day 3,worked well for the lecture presentations,easy to follow and clear,NA
Day 3,worked well for the Data visualization,Not applicable,NA
Day 3,could be improved for the Data visualization,Not applicable,NA
Day 3,could be improved for the group project assignment,Fine as it is.,NA
Day 3,worked well for the group project assignment,Everything,NA
Day 3,worked well for the lecture presentations,Everything,NA
Day 3,could be improved for the lecture presentations,I do't know,NA
Day 3,worked well for the Data visualization,good instructions,NA
Day 3,could be improved for the group project assignment,maybe more time,NA
Day 3,worked well for the group project assignment,good collaboration,NA
Day 3,worked well for the lecture presentations,"structured, clear",NA
Day 3,could be improved for the lecture presentations,it was good,NA
Day 3,worked well for the Data visualization,I think the session gave a lot of relevant information.,NA
Day 3,could be improved for the Data visualization,There were a lot of examples which was good. But I think that it might have been better to have fewer examples and have more focus on understanding the program instead.,NA
Day 3,could be improved for the group project assignment,I am not sure.,NA
Day 3,worked well for the group project assignment,It was fun to have so much freedom in the project.,NA
Day 3,worked well for the lecture presentations,They were very clear and the message was also clear.,NA
Day 3,could be improved for the lecture presentations,It went ver fast towards the end of the data visualisation part.,NA
Day 3,worked well for the Data visualization,I didnt know that ggplot is easy. i tried to read the documentation before but havent managed to make it worked.,NA
Day 3,could be improved for the Data visualization,perhaps more tips on how to explore different properties of ggplot. i found it difficult to understand documentation.,NA
Day 3,could be improved for the group project assignment,"Hmm i dont know. it worked well, i think. cannot think of any.",NA
Day 3,worked well for the group project assignment,i can be reminded of how to do things. it is always difficult to remember all the codes we learned in the past few days,NA
Day 3,worked well for the lecture presentations,"They were clear and fun, thank you",NA
Day 3,could be improved for the lecture presentations,"perhaps adjusted speed at some time. some lectures felt slower and some felt faster, but overall it was fun",NA
Day 3,worked well for the Data visualization,Everything worked fine. Good and pedagogical lecture,NA
Day 3,could be improved for the Data visualization,A bit short of time at the end. Felt stressed.,NA
Day 3,could be improved for the group project assignment,"Really short on time. Data set was ""broken"" and had to be fixed and it took a lot of time",NA
Day 3,worked well for the group project assignment,Teamwork,NA
Day 3,worked well for the lecture presentations,nothing to add,NA
Day 3,could be improved for the lecture presentations,nothing to add,NA
Day 3,worked well for the Data visualization,Could see a lot of different graphs in a short amount of time,NA
Day 3,could be improved for the Data visualization,could include even more type of plots,NA
Day 3,could be improved for the group project assignment,nothing to mention here,NA
Day 3,worked well for the group project assignment,We were ready with the material provided to perform this project,NA
Day 3,worked well for the lecture presentations,The speakers were engaging!!,NA
Day 3,could be improved for the lecture presentations,really liked it,NA
Day 3,worked well for the Data visualization,no complains,NA
Day 3,could be improved for the Data visualization,a bit higher tempo,NA
Day 3,could be improved for the group project assignment,a bit higher tempo,NA
Day 3,worked well for the group project assignment,no complains,NA
Day 3,worked well for the lecture presentations,no complains,NA
Day 3,could be improved for the lecture presentations,a bit higher tempo,NA
Day 3,worked well for the Data visualization,The code and follow and examples.,NA
Day 3,could be improved for the Data visualization,I was happy with the content.,NA
Day 3,could be improved for the group project assignment,I was happy with it. It was challenging which I think was good.,NA
Day 3,worked well for the group project assignment,Being able to work individually but also working together at the start for data cleanup.,NA
