session_name,question,response,course_name
Day 1,worked well for the Management of R projects,i love how progenr package creates all the folder structure and the readme files. i should use this when i start every project ^_^,NA
Day 1,could be improved for the Management of R projects,more tips and tricks will always be appreciated ^_^,NA
Day 1,worked well for the Version control and collaborative practices,learned new things about Git,NA
Day 1,could be improved for the Version control and collaborative practices,perhaps structure it in a more logical way? i was confused why i have 2 repositories (learning-github and LearningR),NA
Day 1,worked well for the Management of R projects,Very detailed,NA
Day 1,could be improved for the Management of R projects,Could be faster,NA
Day 1,worked well for the Version control and collaborative practices,Walkthrough was very detailed,NA
Day 1,could be improved for the Version control and collaborative practices,Speed of the session,NA
Day 1,worked well for the Management of R projects,Everything,NA
Day 1,could be improved for the Management of R projects,Nothing,NA
Day 1,worked well for the Version control and collaborative practices,Everything,NA
Day 1,could be improved for the Version control and collaborative practices,Nothing,NA
Day 1,worked well for the Management of R projects,all,NA
Day 1,could be improved for the Management of R projects,None,NA
Day 1,worked well for the Version control and collaborative practices,all,NA
Day 1,could be improved for the Version control and collaborative practices,none,NA
Day 1,worked well for the Management of R projects,"The sticky-notes, the running code with the lecturer",NA
Day 1,worked well for the Version control and collaborative practices,The pace was good and it was easy to follow,NA
Day 1,worked well for the Management of R projects,very clear instructions,NA
Day 1,could be improved for the Management of R projects,nope,NA
Day 1,worked well for the Version control and collaborative practices,it was really clear just the schedule was a bit tight,NA
Day 1,could be improved for the Version control and collaborative practices,maybe have more experienced instructors for more students,NA
Day 1,worked well for the Management of R projects,It was well organised and structured.,NA
Day 1,could be improved for the Management of R projects,There were quite few breaks which made it hard to concentrate towards the end. There was also a lot of reading which was gard to focus on towards the end of the day.,NA
Day 1,worked well for the Version control and collaborative practices,There were quite few breaks which made it hard to concentrate towards the end. There was also a lot of reading which was gard to focus on towards the end of the day.,NA
Day 1,could be improved for the Version control and collaborative practices,It was well organised and structured.,NA
Day 1,worked well for the Management of R projects,Discussing with group members,NA
Day 1,could be improved for the Management of R projects,I thought it was good already,NA
Day 1,worked well for the Version control and collaborative practices,"Being able to read and learn instead of listening to a lecture, and practicing helped a lot to get the idea",NA
Day 1,could be improved for the Version control and collaborative practices,"It was already good, but more practice examples with a few more steps/changes would be fun :)",NA
Day 1,worked well for the Management of R projects,The postit system was excellent for keeping track and I appreciated being able to read through quickly,NA
Day 1,could be improved for the Management of R projects,Make it clearer when there should be a pause. Often ended up reading ahead of the intended task,NA
Day 1,worked well for the Version control and collaborative practices,The postit system was excellent for keeping track and I appreciated being able to read through quickly,NA
Day 1,could be improved for the Version control and collaborative practices,Make it clearer when there should be a pause. Often ended up reading far ahead,NA
Day 1,worked well for the Management of R projects,all of it,NA
Day 1,could be improved for the Management of R projects,"before: maybe introduce the app ""CampusInfo"" for finding places at chalmers and GU",NA
Day 1,worked well for the Version control and collaborative practices,all of it,NA
Day 1,could be improved for the Version control and collaborative practices,i think it went well,NA
Day 1,worked well for the Management of R projects,The explanation with the read part.,NA
Day 1,could be improved for the Management of R projects,More code along moments.,NA
Day 1,worked well for the Version control and collaborative practices,The explanation with the read part.,NA
Day 1,could be improved for the Version control and collaborative practices,More practices.,NA
Day 1,worked well for the Management of R projects,Good overview of file naming,NA
Day 1,could be improved for the Management of R projects,"All new terms were confusing, not sure how to improve on this however",NA
Day 1,worked well for the Version control and collaborative practices,Clear exercise for committing to GitHub – hopefully this is incorporated into the rest of the course to give us some practice,NA
Day 1,could be improved for the Version control and collaborative practices,Schedule and timekeeping,NA
Day 1,worked well for the Management of R projects,"Everything ran smoothly, it was not too fast, not too slow.",NA
Day 1,worked well for the Version control and collaborative practices,The speed was good as well. It is great to finally learn how to set up github on R,NA
Day 1,could be improved for the Version control and collaborative practices,Difficulties while setting up github.. Hopefully will fix that tomorrow,NA
Day 1,worked well for the Management of R projects,making all progress,NA
Day 1,could be improved for the Management of R projects,"maybe divide in two groups,  slower and faster pase",NA
Day 1,worked well for the Version control and collaborative practices,good help,NA
Day 1,could be improved for the Version control and collaborative practices,it was good,NA
Day 1,worked well for the Management of R projects,I think it was a dynamic and clear class,NA
Day 1,could be improved for the Management of R projects,The reading and postit worked well. I,NA
Day 1,worked well for the Version control and collaborative practices,I understood and folllow so thanks for the clarity.,NA
Day 1,could be improved for the Version control and collaborative practices,"I think that was a lot of reading and the setting GitHub was a bit confusing, it will had been good maybe more text abut more highlight to the relevant things that needed to be added to the console",NA
Day 1,worked well for the Management of R projects,"Slow paced, many examples",NA
Day 1,could be improved for the Management of R projects,All good,NA
Day 1,worked well for the Version control and collaborative practices,"Slow paced, many examples",NA
Day 1,could be improved for the Version control and collaborative practices,"Creating learning-github repo (1st repo) ended in nothing. we are asked to try to make a new project in R based on this repo but then are asked to get the token and then use it for LearningR, so learning-github just ends up being unused. Also we are taught on how to make learning-github (repo via github) private, but not LearningR (repo via R) so it is public by default. I suggest including the instruction on making it private explicitly.",NA
Day 1,worked well for the Management of R projects,Good with alternating reading and practicing (doing yourself),NA
Day 1,could be improved for the Management of R projects,Don't know,NA
Day 1,worked well for the Version control and collaborative practices,Good with alternating reading and practicing (doing yourself),NA
Day 1,could be improved for the Version control and collaborative practices,Don't know,NA
Day 1,worked well for the Management of R projects,I was able to follow everything,NA
Day 1,could be improved for the Management of R projects,It all worked out well for me,NA
Day 1,worked well for the Version control and collaborative practices,I was able to install and follow everything,NA
Day 1,could be improved for the Version control and collaborative practices,The Github submit and commit could be explained a bit slower or a bit more step by step. I was able to ask my peers so it all worked out:),NA
Day 1,worked well for the Management of R projects,The explanations were good and I enjoyed discussing how we manage the projects with the members of my group.,NA
Day 1,could be improved for the Management of R projects,I think it was a good start as it is.,NA
Day 1,worked well for the Version control and collaborative practices,It was good that in the pre-course task we had to read about Git so we were familiar with this concept beforehand today.,NA
Day 1,could be improved for the Version control and collaborative practices,I think it was a good start as it is.,NA
Day 1,worked well for the Management of R projects,"The pace, the amount of new info",NA
Day 1,could be improved for the Management of R projects,"Nothing, it's good",NA
Day 1,worked well for the Version control and collaborative practices,"The amount of info and a decent raise in complicity (not too easy, not too hard, challenging enough)",NA
Day 1,could be improved for the Version control and collaborative practices,"A tiny bit slower pace, sometimes it was hard to type as fast as the teacher",NA
Day 1,worked well for the Management of R projects,Steb-by-step instructions,NA
Day 1,could be improved for the Management of R projects,All is well.,NA
Day 1,worked well for the Version control and collaborative practices,It is interesting and new learning for me.,NA
Day 1,could be improved for the Version control and collaborative practices,"As a new and somehow complicated process in the beginging, I would prefer the instructor should show us the steps first, then we do it by reading the text.",NA
Day 1,worked well for the Management of R projects,I think the setup was really straightforward and easy to follow.,NA
Day 1,could be improved for the Management of R projects,"I think the timing could be improved - we seemed to run over the intended time, and so didn't have enough time to sort out issues with the GitHub section in the afternoon.",NA
Day 1,worked well for the Version control and collaborative practices,The portion about setting up Git with R was really straightforward.,NA
Day 1,could be improved for the Version control and collaborative practices,"The linking a local repository to GitHub section had some complications, and there wasn't enough time to debug them.",NA
Day 1,worked well for the Management of R projects,The explanation was very clear and it was really important to go step by step.,NA
Day 1,could be improved for the Management of R projects,Everything was fine.,NA
Day 1,worked well for the Version control and collaborative practices,The version control session was fine with the lessons.,NA
Day 1,could be improved for the Version control and collaborative practices,More practical examples.,NA
Day 1,worked well for the Management of R projects,"clear introduction to RStudio, and easy to follow",NA
Day 1,could be improved for the Management of R projects,Maybe the content can be more intensive,NA
Day 1,worked well for the Version control and collaborative practices,detailed turotial and good intro of version control,NA
Day 1,could be improved for the Version control and collaborative practices,Maybe display first and then try to practice.,NA
Day 1,worked well for the Management of R projects,"It was a simple but solid introduction day for a begginer like me and I enjoyed the whole session. Instructors teached quite clear, and slow enough to let us process the all information we just got. I appreciate it.",NA
Day 1,could be improved for the Management of R projects,I have no suggestion so far.,NA
Day 1,worked well for the Version control and collaborative practices,"It was a bit difficult as instructors warned us before but they teached very clear, and slow enough.",NA
Day 1,could be improved for the Version control and collaborative practices,I have no suggestion so far.,NA
Day 1,worked well for the Management of R projects,I think that it was easy to follow and worked quite well.,NA
Day 1,could be improved for the Management of R projects,"Maybe that I was not used to how the course website work (e.g., that a reading exercise is in a blue box, etc.)",NA
Day 1,worked well for the Version control and collaborative practices,The beginning because it was only reading :),NA
Day 1,could be improved for the Version control and collaborative practices,I do not think that what we read is repeated orally. I would prefer to have more time for the coding after.,NA
Day 1,worked well for the Management of R projects,"Great lecture, I think that coding in the same time as the lecture is great to really understand and remember and the written course is very good. The method with the sticky id working very well.",NA
