session_name,question,response
Day 1,could be improved for the Management of R projects,/
Day 1,could be improved for the Management of R projects,All good
Day 1,could be improved for the Management of R projects,All is well.
Day 1,could be improved for the Management of R projects,"All new terms were confusing, not sure how to improve on this however"
Day 1,could be improved for the Management of R projects,Could be faster
Day 1,could be improved for the Management of R projects,Could maybe spend less time on this and more time on the afternoon with version control.
Day 1,could be improved for the Management of R projects,Difficult to say.
Day 1,could be improved for the Management of R projects,Don't have any improvements for this section.
Day 1,could be improved for the Management of R projects,Don't know
Day 1,could be improved for the Management of R projects,Everything was fine.
Day 1,could be improved for the Management of R projects,Good maybe go a bit faster sometimes
Day 1,could be improved for the Management of R projects,"I believe that less reading, more code along would be better. But I understand that most people won't read ahead and explaining may take too much time."
Day 1,could be improved for the Management of R projects,I cannot think of a change. Definitely practe is needed but maybe that comes on day 2.
Day 1,could be improved for the Management of R projects,I dont have a specific value add suggestion here. Maybe regular breaks would be nice. Just trying to be critical here as I cannot think of anything else at the moment.
Day 1,could be improved for the Management of R projects,I have no idea.
Day 1,could be improved for the Management of R projects,I have no suggestion so far.
Day 1,could be improved for the Management of R projects,"I like most of it, but I felt the introduction felt quite long.There was a lot of explanation on what we were gonna do, instead of actually doing it."
Day 1,could be improved for the Management of R projects,I think everything was good.
Day 1,could be improved for the Management of R projects,I think it was a good start as it is.
Day 1,could be improved for the Management of R projects,"I think the timing could be improved - we seemed to run over the intended time, and so didn't have enough time to sort out issues with the GitHub section in the afternoon."
Day 1,could be improved for the Management of R projects,I thought it was good already
Day 1,could be improved for the Management of R projects,I was happy with the session.
Day 1,could be improved for the Management of R projects,It all worked out well for me
Day 1,could be improved for the Management of R projects,Make it clearer when there should be a pause. Often ended up reading ahead of the intended task
Day 1,could be improved for the Management of R projects,"Maybe that I was not used to how the course website work (e.g., that a reading exercise is in a blue box, etc.)"
Day 1,could be improved for the Management of R projects,Maybe the content can be more intensive
Day 1,could be improved for the Management of R projects,More code along moments.
Day 1,could be improved for the Management of R projects,None
Day 1,could be improved for the Management of R projects,Nothing
Day 1,could be improved for the Management of R projects,"Nothing, it's good"
Day 1,could be improved for the Management of R projects,Some things (for example the language used) could be explained more.
Day 1,could be improved for the Management of R projects,The reading and postit worked well. I
Day 1,could be improved for the Management of R projects,There were quite few breaks which made it hard to concentrate towards the end. There was also a lot of reading which was gard to focus on towards the end of the day.
Day 1,could be improved for the Management of R projects,"before: maybe introduce the app ""CampusInfo"" for finding places at chalmers and GU"
Day 1,could be improved for the Management of R projects,"maybe divide in two groups,  slower and faster pase"
Day 1,could be improved for the Management of R projects,more tips and tricks will always be appreciated ^_^
Day 1,could be improved for the Management of R projects,nope
Day 1,could be improved for the Version control and collaborative practices,"A tiny bit slower pace, sometimes it was hard to type as fast as the teacher"
Day 1,could be improved for the Version control and collaborative practices,"As a new and somehow complicated process in the beginging, I would prefer the instructor should show us the steps first, then we do it by reading the text."
Day 1,could be improved for the Version control and collaborative practices,"Creating learning-github repo (1st repo) ended in nothing. we are asked to try to make a new project in R based on this repo but then are asked to get the token and then use it for LearningR, so learning-github just ends up being unused. Also we are taught on how to make learning-github (repo via github) private, but not LearningR (repo via R) so it is public by default. I suggest including the instruction on making it private explicitly."
Day 1,could be improved for the Version control and collaborative practices,Difficulties while setting up github.. Hopefully will fix that tomorrow
Day 1,could be improved for the Version control and collaborative practices,Don't know
Day 1,could be improved for the Version control and collaborative practices,Good maybe go a bit faster sometimes
Day 1,could be improved for the Version control and collaborative practices,I do not think that what we read is repeated orally. I would prefer to have more time for the coding after.
Day 1,could be improved for the Version control and collaborative practices,I have no suggestion so far.
Day 1,could be improved for the Version control and collaborative practices,I think everything was good.
Day 1,could be improved for the Version control and collaborative practices,I think it was a good start as it is.
Day 1,could be improved for the Version control and collaborative practices,"I think that was a lot of reading and the setting GitHub was a bit confusing, it will had been good maybe more text abut more highlight to the relevant things that needed to be added to the console"
Day 1,could be improved for the Version control and collaborative practices,I was happy with the session.
Day 1,could be improved for the Version control and collaborative practices,I'm happy with the knowledge I got today.
Day 1,could be improved for the Version control and collaborative practices,It made more sense than the times I tried to understand it by my own. Maybe spending more time during the course on this will increase general understanding of GitHub use.
Day 1,could be improved for the Version control and collaborative practices,"It was already good, but more practice examples with a few more steps/changes would be fun :)"
Day 1,could be improved for the Version control and collaborative practices,"It was to late. I am not able to stay focused for such long days. So, I did the exercise and everything works but I really do not record why or what I'm doing. So really don't learn anything. But this is more of a time schedule issue than anything else."
Day 1,could be improved for the Version control and collaborative practices,It was well organised and structured.
Day 1,could be improved for the Version control and collaborative practices,Make it clearer when there should be a pause. Often ended up reading far ahead
Day 1,could be improved for the Version control and collaborative practices,Maybe display first and then try to practice.
Day 1,could be improved for the Version control and collaborative practices,More practical examples.
Day 1,could be improved for the Version control and collaborative practices,More practices.
Day 1,could be improved for the Version control and collaborative practices,Nothing
Day 1,could be improved for the Version control and collaborative practices,Schedule and timekeeping
Day 1,could be improved for the Version control and collaborative practices,"Since git is new for most people, I feel that this specific part can have more verbal explanation rather than reading. I feel a verbal explanation of important concepts before reading can help. However, I felt it all worked very well regardless."
Day 1,could be improved for the Version control and collaborative practices,"Sometimes it is a little bit difficult to really understand what you are doing in the practical tasks. I felt I was just doing what I was told, especially in the end of the session. I also think an earlier break would have been helpful to avoid getting too tired."
Day 1,could be improved for the Version control and collaborative practices,Speed of the session
Day 1,could be improved for the Version control and collaborative practices,The Github submit and commit could be explained a bit slower or a bit more step by step. I was able to ask my peers so it all worked out:)
Day 1,could be improved for the Version control and collaborative practices,"The linking a local repository to GitHub section had some complications, and there wasn't enough time to debug them."
Day 1,could be improved for the Version control and collaborative practices,"There were times where we were reading and doing the task and then after reading it we did the exact same thing together. This felt like a little bit of waste of time. Since the last parts were very hands on, maybe just a demonstration without the reading would be better."
Day 1,could be improved for the Version control and collaborative practices,"Too much time dedicated to reading. In the provided materials there's no indication, which exercises we should or should't do, so naturally most people finished with reading followed with exercises."
Day 1,could be improved for the Version control and collaborative practices,"While I think it was easy to follow and not to fast, the morning was an easier topic so maybe spend more time on the version control and slightly less on the management of R projects session."
Day 1,could be improved for the Version control and collaborative practices,i think it went well
Day 1,could be improved for the Version control and collaborative practices,it was good
Day 1,could be improved for the Version control and collaborative practices,maybe have more experienced instructors for more students
Day 1,could be improved for the Version control and collaborative practices,none
Day 1,could be improved for the Version control and collaborative practices,perhaps structure it in a more logical way? i was confused why i have 2 repositories (learning-github and LearningR)
Day 1,could be improved for the Version control and collaborative practices,the access token thing
Day 1,worked well for the Management of R projects,"Clear and easy going, interactive."
Day 1,worked well for the Management of R projects,"Code along, proper introduction to basics"
Day 1,worked well for the Management of R projects,Discussing with group members
Day 1,worked well for the Management of R projects,Everything
Day 1,worked well for the Management of R projects,"Everything ran smoothly, it was not too fast, not too slow."
Day 1,worked well for the Management of R projects,Good overview of file naming
Day 1,worked well for the Management of R projects,Good with alternating reading and practicing (doing yourself)
Day 1,worked well for the Management of R projects,"Great lecture, I think that coding in the same time as the lecture is great to really understand and remember and the written course is very good. The method with the sticky id working very well."
Day 1,worked well for the Management of R projects,I believe it was a nice introduction to the course. The concepts were clear and the exercises were great.
Day 1,worked well for the Management of R projects,I liked that everything was done together. All the tasks were well described.
Day 1,worked well for the Management of R projects,"I think everything worked very well, I especially liked the small tips and tricks about short commands etc."
Day 1,worked well for the Management of R projects,I think it was a dynamic and clear class
Day 1,worked well for the Management of R projects,I think that it was easy to follow and worked quite well.
Day 1,worked well for the Management of R projects,I think the reading material is very well written and very self-explanatory.The system of sticky notes works very well
Day 1,worked well for the Management of R projects,I think the setup was really straightforward and easy to follow.
Day 1,worked well for the Management of R projects,I was able to follow everything
Day 1,worked well for the Management of R projects,"It was a simple but solid introduction day for a begginer like me and I enjoyed the whole session. Instructors teached quite clear, and slow enough to let us process the all information we just got. I appreciate it."
Day 1,worked well for the Management of R projects,It was easy to follow coding tasks and get help.
Day 1,worked well for the Management of R projects,It was well organised and structured.
Day 1,worked well for the Management of R projects,Pace of the course was good. It didnt feel rushed or crammed.
Day 1,worked well for the Management of R projects,"Slow paced, many examples"
Day 1,worked well for the Management of R projects,Steb-by-step instructions
Day 1,worked well for the Management of R projects,The explanation was very clear and it was really important to go step by step.
Day 1,worked well for the Management of R projects,The explanation with the read part.
Day 1,worked well for the Management of R projects,The explanations were good and I enjoyed discussing how we manage the projects with the members of my group.
Day 1,worked well for the Management of R projects,"The pace, the amount of new info"
Day 1,worked well for the Management of R projects,The postit system was excellent for keeping track and I appreciated being able to read through quickly
Day 1,worked well for the Management of R projects,"The sticky-notes, the running code with the lecturer"
Day 1,worked well for the Management of R projects,Very detailed
Day 1,worked well for the Management of R projects,"Welcoming athmosphere, different ways of learning (listening, teaching, discussing, doing). Over expectations with breakfast and coffee!"
Day 1,worked well for the Management of R projects,"Well, it was easy to follow the text and everything worked."
Day 1,worked well for the Management of R projects,all
Day 1,worked well for the Management of R projects,all of it
Day 1,worked well for the Management of R projects,all the process. It is new for me so more practicing will show if I really get how to use it
Day 1,worked well for the Management of R projects,"clear introduction to RStudio, and easy to follow"
Day 1,worked well for the Management of R projects,everything
Day 1,worked well for the Management of R projects,i love how progenr package creates all the folder structure and the readme files. i should use this when i start every project ^_^
Day 1,worked well for the Management of R projects,making all progress
Day 1,worked well for the Management of R projects,very clear instructions
Day 1,worked well for the Version control and collaborative practices,"Being able to read and learn instead of listening to a lecture, and practicing helped a lot to get the idea"
Day 1,worked well for the Version control and collaborative practices,"Clear and easy going, never left anyone behind - got help fast if you got stuck."
Day 1,worked well for the Version control and collaborative practices,Clear exercise for committing to GitHub – hopefully this is incorporated into the rest of the course to give us some practice
Day 1,worked well for the Version control and collaborative practices,"Code along is a good idea. It was good to read on our own, get time to reflect and then code."
Day 1,worked well for the Version control and collaborative practices,Comprehensive introduction to basics.
Day 1,worked well for the Version control and collaborative practices,Everything
Day 1,worked well for the Version control and collaborative practices,Following the session was easy and gave a good understanding of version control with git.
Day 1,worked well for the Version control and collaborative practices,Good with alternating reading and practicing (doing yourself)
Day 1,worked well for the Version control and collaborative practices,"I really like that we did things step by step, and that it was time for getting help if needed. Over expectations with breakfast and coffee!"
Day 1,worked well for the Version control and collaborative practices,"I think it worked very well in general. Git was new to most if us and most managed to install, commit and push files."
Day 1,worked well for the Version control and collaborative practices,I understood and folllow so thanks for the clarity.
Day 1,worked well for the Version control and collaborative practices,I was able to install and follow everything
Day 1,worked well for the Version control and collaborative practices,It is interesting and new learning for me.
Day 1,worked well for the Version control and collaborative practices,"It was a bit difficult as instructors warned us before but they teached very clear, and slow enough."
Day 1,worked well for the Version control and collaborative practices,It was good that in the pre-course task we had to read about Git so we were familiar with this concept beforehand today.
Day 1,worked well for the Version control and collaborative practices,Most of it worked very well. It was a very good pace and did not feel rushed even though it was a little bit complicated.
Day 1,worked well for the Version control and collaborative practices,New information. Looks like I can properly use R from now on without losing info and with well organized format.
Day 1,worked well for the Version control and collaborative practices,"Slow paced, many examples"
Day 1,worked well for the Version control and collaborative practices,"The amount of info and a decent raise in complicity (not too easy, not too hard, challenging enough)"
Day 1,worked well for the Version control and collaborative practices,The beginning because it was only reading :)
Day 1,worked well for the Version control and collaborative practices,The coding along as well as the sticky method
