questions,responses
Why do you want to attend this course?,"As a powerful open-source tool for data analysis and visualization, R has become an indispensable asset for researchers. I began learning R a year ago but still feel that I have yet to grasp its essence, which is why I am eager to undertake systematic learning. This is particularly important for my research, which involves spatial metabolomics and big data analysis, areas where R is undoubtedly an essential tool."
Why do you want to attend this course?,"Because I am doing pharmacoepidemiological research, and will (as soon as data is available) be involved in data analyses using R. Since I am a total beginner, I would like to get kickstarted with this introduction course."
Why do you want to attend this course?,Because I work in public health and epidemiology and they all use R and r-studio (or stata) and I am used to using python. Collaborations and helping at courses doing TA work and understanding the scripts my supervisor sends me would be a lot easier if I had the basics for r down
Why do you want to attend this course?,Diving into omics data analysis
Why do you want to attend this course?,Fill the gaps in foundational R/git knowledge and learn how to build pipelines
Why do you want to attend this course?,"For my postdoc project, I will start working with sequencing data. Most analysis pipelines in my institute are implemented with R."
Why do you want to attend this course?,Get familiar with R
Why do you want to attend this course?,"I am about to start data analysis for my PhD project which requires using a coding-based statistical program. R is more commonly used among my colleagues, making it a practical choice for me to learn."
Why do you want to attend this course?,"I am currently doinga PhD in a Proteomics Lab, where my research involves working with large and complex datasets. While Excel has been helpful for basic data analysis and managing day-to-day experiments, the complexity of proteomics data exceeds its capabilities. To analyze these datasets effectively I need to develop my skills in R and data analysis in general."
Why do you want to attend this course?,"I am going to use R for the data analysis of my PhD-project, and I want to learn how to use R in a reproducible way"
Why do you want to attend this course?,"I want to be comfortable in using R because I want to use it for further data analysis for which I will need to take more advanced courses. Also I can see that is a very useful tool for data sorting and cleaning, more flexible than excel, with a lot of possibilities that I want to learn and use on daily basis."
Why do you want to attend this course?,"I want to improve my R skills, as this is a tool I will be usin a lot in my work."
Why do you want to attend this course?,I want to improve my reproducibility and open scientific data for further analysis
Why do you want to attend this course?,I want to learn how to use R to analyse data and to use R get an overview of data.
Why do you want to attend this course?,"I want to start learning R, especially producing reproducible research and get to know the use of Git."
Why do you want to attend this course?,"I wish to attend this course to get experienced in R, since my R knowledge only surrounds about statistical analysis and not data analysis."
Why do you want to attend this course?,"I wish to have a better understanding of data analysis, structure and coding. My project will in the future heavily rely in my ability to do advanced data analysis in Rstudio. I will therefore also apply to the future courses."
Why do you want to attend this course?,"I would like to attend this course because I need to use R for data analysis in my PhD project. As I am new to R, I have been recommended this course as a good starting point to develop the necessary skills for working with my data."
Why do you want to attend this course?,I would like to learn how to work with R and use it for statistical analysis for my research project.
Why do you want to attend this course?,I would like to start learning programming
Why do you want to attend this course?,"My primary goal is to become more familiar with R, because I see it used increasingly. I was also intrigued by the open science approach, which is different from other R courses I have seen offered at the universities"
Why do you want to attend this course?,To be able to use R as a tool to make data analysis.
Why do you want to attend this course?,"To fascilitate transfer of analysis process from mainly Stata to mainly R in particular due to the more flexible graphing in R, but also to utilize analytic tools that are not availble in Stata or hard to access (generalized pairwise comparisons, target trial emulation etc.)"
Why do you want to attend this course?,"To get a good start in learning how to code. I am planning two studies in my phd where coding will come in handy, and I am sure it will be very useful in my future research career as well."
Why do you want to attend this course?,To get to know the program R and improve my ability to use it for my work in my PhD.
Why do you want to attend this course?,To learn how to use R for my data analysis and management
Why do you want to attend this course?,To learn more about R and open science
Why do you want to attend this course?,"To learn more about R, not only what I can find with chatGPT"
Why do you want to attend this course?,To learn to work in R because I will need it for data analysis during my PhD work
Why do you want to attend this course?,to get familiar with an reproducible data analysis tool and be more consistent and transparent with my data management
"In your opinion, what worked well?",Clear instructions on how to prepare for the course :)
"In your opinion, what worked well?",Everything is detailed and user friendly so I found the whole thing really helpful and great
"In your opinion, what worked well?",Everything is very well explained and detailed! It was very easy to navigate through the different tasks.
"In your opinion, what worked well?","Gives a nice overview. Easy to excecute. Nice with videos for those not that familiar with R studio, but also just the option of entering the code if you are a little bit familiar with it. The instructions are easy to follow."
