session_name,question,response,course_name
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Good help to get if problems,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","A little fast going through it. Would be nice if you said what we are suppose to use it for, just in a few words. It was did sometimes (nice), but not always.",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","Slower, so you could follow the instructor. Nice examples",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",nothing,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",the stickies!! plenty of time and coffee,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","This session is a neccesary evil, it was fine.",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",stickies!!,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",It was fine,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Solid pace of the lecture.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Nothing,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Solid pace of the lecture.,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Nothing,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",the code alongs and the stickers are brilliant,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Nothing I can think of,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","the code alongs and the stickers are brilliant. Also, the descriptions on why we're doing what we're doing are great in order to implement it properly on my own data later on, i think",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Nothing I can think of :),NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The code-alongs were great and worked really well.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",It made a lot of sense for people like me who'll be doing similar commands/analyses several times,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Everything,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Can't think of anything,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Understanding the reasoning behind making functions and practical exercises,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Could be a bit faster paced,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Everything. Very good course and easy to follow.,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","Again, everything. Usually computer-related courses where students have to follow on their own PCs go completely sideways. But this really works",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Hard to think of anything,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Everthing went super good! Think the pace and the overall goal was really good!,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s",Nothing!,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions","Great pace, great instructor, great everything!",NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",I think the setup of the screen could be improved..,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",The explanation of the why this is so important and what we are actually doing. Very well explained.,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","Nothing, it was really good.",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",All the hands on and exercises. I think I can repeat this at home now :D,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",All was good.,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",Well explained,NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Practical exercises,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",That we were prepared and had had time in advance to read up on it,NA
Day 1,"could be improved for the Basic setup and workflow and Importing data, fast s","Mayby start with the data set and let us discuss what is the point of importing it - what are we going to ""use"" it for (therorethically)",NA
Day 1,"worked well for the Save time, don’t repeat yourself: Making functions",Whole new world. Really excited to learn more about it,NA
Day 1,"could be improved for the Save time, don’t repeat yourself: Making functions",Dont know,NA
Day 1,"worked well for the Basic setup and workflow and Importing data, fast s",its nice to learn about non base R functions for doing stuff faster,NA
