session_name,question,response,course_name
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",good slow pace and nice exercises,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",nothing,NA
Day 2,worked well for the Processing and joining datasets for cleaning,nice exercises,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,teacher goes a little to fast when typing in R,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",It really became relevant for me at this point. It seems very suitable for the research I am conducting,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","The brainstorm exercise was not my favorite, we were finished talking very quickly",NA
Day 2,worked well for the Processing and joining datasets for cleaning,"Again, really relevant, especially working with larger data sets",NA
Day 2,could be improved for the Processing and joining datasets for cleaning,No comments yet :-),NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",The texts where very good,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",I did not feel like the strengths and important points of functionals was highlighted in class,NA
Day 2,worked well for the Processing and joining datasets for cleaning,If very nicely raped the previous subjects together,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",time for everyone to do the tasks on their one,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Nothing,NA
Day 2,worked well for the Processing and joining datasets for cleaning,Really nice and throuroughly,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,Nothing,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Pace was good, nice examples",NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",n/a,NA
Day 2,worked well for the Processing and joining datasets for cleaning,good focus on applicability in real-life situations,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,n/a,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",We went though a lot!,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","Honestly, I really felt frustrated about this session. The concept of doing stuff in the qmd file and then delete it entirely was a bit frustrating - we did not get the point of using both the qmd and R file. It was also a bit annoying that we wrote over things we just wrote. And lastly, I think you should make sure for next time, that everyone has downloaded the data correctly",NA
Day 2,worked well for the Processing and joining datasets for cleaning,Love Luke <3,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,To be continued,NA
