questions,responses,count
What is your formal position?,Analyst,1
What is your formal position?,PhD,6
What is your formal position?,PhD Student,1
What is your formal position?,PhD student,5
What is your formal position?,Postdoc,17
What is your formal position?,Researcher,2
What is your formal position?,postdoc,3
What city do you work in or near?,Aarhus,2
What city do you work in or near?,Copenhagen,17
What city do you work in or near?,Gentofte,3
What city do you work in or near?,Glostrup,1
What city do you work in or near?,Malmö,1
What city do you work in or near?,Odense,11
How do you perceive your skill/knowledge of [using R?],Beginner,22
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of [using R?],Intermediate,2
What programs have you previously used for data analysis?,Graph Pad Prism,1
What programs have you previously used for data analysis?,"GraphPad Prism, Excel",1
What programs have you previously used for data analysis?,"Mainly Stata, little SAS and  R",1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,"Perl, R",1
What programs have you previously used for data analysis?,Prism,1
What programs have you previously used for data analysis?,"Prism, SIGMA plot",1
What programs have you previously used for data analysis?,R,1
What programs have you previously used for data analysis?,R and GraphPad Prism.,1
What programs have you previously used for data analysis?,R studio-less than beginning,1
What programs have you previously used for data analysis?,SAS,2
What programs have you previously used for data analysis?,"SAS, Matlab, GraphPad, Excel",1
What programs have you previously used for data analysis?,"SAS, Stata",1
What programs have you previously used for data analysis?,SPSS,1
What programs have you previously used for data analysis?,"SPSS, Prism, Python coding",1
What programs have you previously used for data analysis?,"SPSS, R (very little)",1
What programs have you previously used for data analysis?,"SPSS, ecxel",1
What programs have you previously used for data analysis?,"STATA, SAS, EXCEL, GRAPHPAD",1
What programs have you previously used for data analysis?,"SigmaPlot, R",1
What programs have you previously used for data analysis?,"Sigmaplot, graphpad",1
What programs have you previously used for data analysis?,Stata,3
What programs have you previously used for data analysis?,Stata and R,1
What programs have you previously used for data analysis?,"Stata, SAS",1
What programs have you previously used for data analysis?,"Stata, SAS (years ago), SPSS (very long time ago)",1
What programs have you previously used for data analysis?,"Stata, SPSS, MLwin",1
What programs have you previously used for data analysis?,"Stata, SigmaPlot, Prism",1
What programs have you previously used for data analysis?,graphpad prism,1
What programs have you previously used for data analysis?,"mostly stata, but also sas",1
What programs have you previously used for data analysis?,no,1
What programs have you previously used for data analysis?,sigma Plot,1
What programs have you previously used for data analysis?,spss,1
What programs have you previously used for data analysis?,"spss, stata",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,35
How do you perceive your skill/knowledge of [data analysis in general?],Advanced,2
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,9
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,4
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,13
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,7
How do you perceive your skill/knowledge of [programming in general?],Advanced,1
How do you perceive your skill/knowledge of [programming in general?],Beginner,21
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of [programming in general?],Intermediate,6
How do you perceive your skill/knowledge of [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,35
