session_name,question,response
"Day 2, afternoon part 2",could be improved for,A little slow
"Day 2, afternoon part 2",could be improved for,All good
"Day 2, afternoon part 2",could be improved for,I could have used some more options in the visualisation.Maybe having spend a bit more time on showing code for some figures with x and y labels and using different colours etc.
"Day 2, afternoon part 2",could be improved for,I think the session worked well
"Day 2, afternoon part 2",could be improved for,"In general, I would have appreciated more explanation before we did code-along, because it is hard to remember things when you do not know why you are doing stuff. Unfortunaly, pronounciation of language is a challenge with this teacher, since it is makes it hard to follow and some parts of the teaching. This is not helping my learning. On the first part of the session (Day 2), the talk about logical conditions was started without context and for someone who have not used R, this is quite confusing. It was also confusing that it was said both ""and"" and ""or"" about the ""|"", which is unfortunate when introducing a new thing.  Further, the teaching sometimes continued even though not all green hats were up (=not everyone had finished). A suggestion for the exercises in this part, is to consider not to give away the template for the code (""___(___ >= ___ & ___ <= ___ & ___ == ___)"". It switches the focus from trying to remember how to do it and figure it out yourself, to focusing on to fill out blank spaces with the correct words. The template could be a hint."
"Day 2, afternoon part 2",could be improved for,"It would have been nice with an introduction to how to figure out the arguments of a function. So if I was to use a function not teached in this course, how do I know the arguments it needs?"
"Day 2, afternoon part 2",could be improved for,"Maybe expand a bit on the true, false and condition logic in R, as I think this is an important thing to understand - in my opinion the explanation was a bit short."
"Day 2, afternoon part 2",could be improved for,More excercises
"Day 2, afternoon part 2",could be improved for,Nothing
"Day 2, afternoon part 2",could be improved for,Nothing for me.
"Day 2, afternoon part 2",could be improved for,Nothing. :)
"Day 2, afternoon part 2",could be improved for,Please take some time to listen a bit more to the questions the participants have.
"Day 2, afternoon part 2",could be improved for,"Text strings and variable names could be explained better. Like when to use ""..."" and when to not use ""..."". When is it considered a variable, like a column and when do we split the variable name. the ""PG""-part"
"Day 2, afternoon part 2",could be improved for,"The explanation of Logic was explained in a confusing way for those who haven't used R or coded before, This lead to long waits. in addition you have to make sure that you understand what people are asking for before answering them"
"Day 2, afternoon part 2",could be improved for,The reading section should have been more elaborated
"Day 2, afternoon part 2",could be improved for,could be nice with exercises without templates too.
"Day 2, afternoon part 2",could be improved for,it was ok - i guess i was wanting to now more in depth about how to manipulate date in some specific ways that is perhaps more for the intermediate
"Day 2, afternoon part 2",could be improved for,it workedd well
"Day 2, afternoon part 2",could be improved for,maybe an overview of the used functions?
"Day 2, afternoon part 2",could be improved for,"more difficult tasks, maybe some without the ""fill in codes"""
"Day 2, afternoon part 2",could be improved for,nothing it is good
"Day 2, afternoon part 2",could be improved for,the basics of logic was a bit long and I would expect unnecessary
"Day 2, afternoon part 2",could be improved for,use more time on answering questions
"Day 2, afternoon part 2",could be improved for,"was a bit fast. teacher should repeat instructions several times, so if you are struggling, you get another chance to hear the instruction."
"Day 2, afternoon part 2",worked well for,Good examples using the data
"Day 2, afternoon part 2",worked well for,Good tempo. Good with many repetitions.
"Day 2, afternoon part 2",worked well for,Great session. Nice and useful tools introduced. Good teacher!
"Day 2, afternoon part 2",worked well for,"I like that there where more exercises, where we had to try out things own our own."
"Day 2, afternoon part 2",worked well for,I like the tasks in this part
"Day 2, afternoon part 2",worked well for,"I think the part of the function of the mutate,rename and filter is relly nice."
"Day 2, afternoon part 2",worked well for,It was fast to do it and had a great flow
"Day 2, afternoon part 2",worked well for,Many exercises on our own.
"Day 2, afternoon part 2",worked well for,Plenty of exercises are fun. Thank you
"Day 2, afternoon part 2",worked well for,Relevant
"Day 2, afternoon part 2",worked well for,The excersises.
"Day 2, afternoon part 2",worked well for,The exercises were really nice to practice and fully understand how these functions work
"Day 2, afternoon part 2",worked well for,The flow again was fine and the live coding sessions is ok.
"Day 2, afternoon part 2",worked well for,The functions we are learning are important and I can see how they can be usefull for me.
"Day 2, afternoon part 2",worked well for,"The instructor was great, and the time allocated was enough"
"Day 2, afternoon part 2",worked well for,The tasks
"Day 2, afternoon part 2",worked well for,"Very useful concepts for piping and filtering, well explained and lots of time to test"
"Day 2, afternoon part 2",worked well for,a lot of hands on expeience with coding
"Day 2, afternoon part 2",worked well for,all good
"Day 2, afternoon part 2",worked well for,everything
"Day 2, afternoon part 2",worked well for,"good exercises, good time"
"Day 2, afternoon part 2",worked well for,good pace and good exercises
"Day 2, afternoon part 2",worked well for,good with practice yourself
"Day 2, afternoon part 2",worked well for,"good with the helpers. explaining ""why"" as much as possible is good! gives me hooks and logic to remember things by."
"Day 2, afternoon part 2",worked well for,it was a nice exercise
"Day 2, afternoon part 2",worked well for,it was really good to code along the instructor!
"Day 2, afternoon part 2",worked well for,nice pace
"Day 2, afternoon part 2",worked well for,"very easy to understand the separation of functions related to ""rows"" and ""columns"""
"Day 2, afternoon part 2",worked well for,well done. Nice with the exercises!
