statement,response,n
I think I learned a lot from this course,Agree,5
I think I learned a lot from this course,Neutral,1
I think I learned a lot from this course,Strongly agree,16
I think I learned a lot from this course,Strongly disagree,2
I think the content on the website clearly communicated the concepts,Agree,3
I think the content on the website clearly communicated the concepts,Strongly agree,19
I think the content on the website clearly communicated the concepts,Strongly disagree,2
I think the instructors clearly communicated the concepts,Agree,4
I think the instructors clearly communicated the concepts,Neutral,3
I think the instructors clearly communicated the concepts,Strongly agree,15
I think the instructors clearly communicated the concepts,Strongly disagree,2
I think there was a good mix of learning activities that encouraged my active participation,Agree,5
I think there was a good mix of learning activities that encouraged my active participation,Neutral,1
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,16
I think there was a good mix of learning activities that encouraged my active participation,Strongly disagree,2
I think there was good alignment between the learning activities,Agree,7
I think there was good alignment between the learning activities,Neutral,2
I think there was good alignment between the learning activities,Strongly agree,13
I think there was good alignment between the learning activities,Strongly disagree,2
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,8
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,2
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,12
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly disagree,2
"In general, I think this is a good course",Agree,6
"In general, I think this is a good course",Strongly agree,16
"In general, I think this is a good course",Strongly disagree,2
