question,response
Why do you want to attend this workshop?,How to use GitHub
Why do you want to attend this workshop?,I have some experience working in Github - but I have never had any training in using it. I think it has the potential to improve some of the collaborations that i engage in.
Why do you want to attend this workshop?,I use GitHub in my work
Why do you want to attend this workshop?,I want be better at using GitHub
Why do you want to attend this workshop?,I want to be better at Github and use it for my research projects
Why do you want to attend this workshop?,I want to learn how to use Git to improve my research productivity
Why do you want to attend this workshop?,I want to make my own website and be able to change content on others website
Why do you want to attend this workshop?,"I would like to attend this workshop to strengthen my skills in using Git and GitHub for collaborative and reproducible research. As a research coordinator these tools will help me improve version control, transparency, and teamwork. I’m also preparing for a PhD in global health, where these skills are increasingly expected."
Why do you want to attend this workshop?,I would like to know how to use GitHub with my future researcher friends
Why do you want to attend this workshop?,Learn how to get advantage of GitHub in future research projects
Why do you want to attend this workshop?,Learn how to get started on GitHub and use it in everyday work flows
Why do you want to attend this workshop?,Learn to use GitHub to work as a team
Why do you want to attend this workshop?,Learn what git is. Be more familiar with github and its potentials
Why do you want to attend this workshop?,More knowledge on basic github usage
Why do you want to attend this workshop?,Nusgerrighed på om det er noget jeg kan bruge for at gøre min hverdag nemmere
Why do you want to attend this workshop?,"The project I am working on uses Github to create the project website so it is highly likely that I will be responsible for maintaining and editing contentI could also imagine that the project partners and collaborators, including me, could utilize on sharing a repository for protocols etc."
Why do you want to attend this workshop?,To get more comfortable using github as a tool for having your research project in a safe space
Why do you want to attend this workshop?,To improve my skills in GitHub - and learn about the possibilities to use it as a project management tool
Why do you want to attend this workshop?,To learn about the pros for using Github
Why do you want to attend this workshop?,To learn the basics of git/github
Why do you want to attend this workshop?,To learn to build webpages
Why do you want to attend this workshop?,"because I think it could be useful for my possible future as researcher, but also for my career in general"
Why do you want to attend this workshop?,better management project on github
Why do you want to attend this workshop?,"never been in a formal github training before, and I would like to reproduce the teaching to others"
What do you expect to learn and what would you like to be able to do with what you've learned?,"54 / 5,000basic notions, I have no experience with the program"
What do you expect to learn and what would you like to be able to do with what you've learned?,Expect to learn the basic concepts of git/github and to be able to setup website
What do you expect to learn and what would you like to be able to do with what you've learned?,Get more insign in what you can do with github
What do you expect to learn and what would you like to be able to do with what you've learned?,"How to use GitHub/Git instead of words, when I work on projects, paper, etc"
What do you expect to learn and what would you like to be able to do with what you've learned?,How to use GitHud for project management and/or design project webpages
What do you expect to learn and what would you like to be able to do with what you've learned?,"How to use git on my computer. How to understand github, and use it to now more about the epi group at steno community, when are meetings etc"
What do you expect to learn and what would you like to be able to do with what you've learned?,Håber jeg får en intro så jeg selv syntes det bliver sjovt at eksperimentere videre med
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn how to effectively use Git and GitHub to track changes, collaborate with others, and ensure reproducibility in research projects."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to use GitHub in a way so I easily can collaborate with my colleagues. Collaborate in documents with my coalleagues more smoothly. Avoid emails with different document-versions.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn more about what is GitHub, how to use it and the aim of using it. I would like to finish the workshop having gained new knowledge about GitHub and its functionalities."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn the basics of Github and how we can use it for our website and for sharing
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope I would be able to change content i projects (not mine) anchered at GiHub
What do you expect to learn and what would you like to be able to do with what you've learned?,"I hope to be more confident in designing and re-designing my ""github-webpage"". And I hope to get som insigts in the projektmanagement tool."
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope to learn more about the potential of Github and get an introduction to have to set up a project for collaborations.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I want to be better at using Github for version control of my epidemiological studies (using UK biobank), which I am just starting"
What do you expect to learn and what would you like to be able to do with what you've learned?,"I want to know what are the benefits of using this tool, if it improves productivity, then consider using it for all projects."
What do you expect to learn and what would you like to be able to do with what you've learned?,Nemmere og bedre styr på mapper og filer
