statement,response,n
I think I learned a lot from this workshop,Agree,11
I think I learned a lot from this workshop,Neutral,4
I think I learned a lot from this workshop,Strongly agree,5
I think the content on the website clearly communicated the concepts,Agree,11
I think the content on the website clearly communicated the concepts,Neutral,2
I think the content on the website clearly communicated the concepts,Strongly agree,7
I think the instructors clearly communicated the concepts,Agree,8
I think the instructors clearly communicated the concepts,Strongly agree,12
I think there was a good mix of learning activities that encouraged my active participation,Agree,11
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,9
I think there was good alignment between the learning activities,Agree,10
I think there was good alignment between the learning activities,Strongly agree,10
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,12
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Disagree,1
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,2
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,5
"In general, I think this was a good workshop",Agree,10
"In general, I think this was a good workshop",Strongly agree,10
