session_name,question,response,course_name
Day 1,worked well for the Management of R projects,Group sessions,NA
Day 1,could be improved for the Management of R projects,Nothing,NA
Day 1,worked well for the Version control and collaborative practices,Everything,NA
Day 1,could be improved for the Version control and collaborative practices,Nothing,NA
Day 1,worked well for the Management of R projects,Code-along,NA
Day 1,could be improved for the Management of R projects,It runs really good.,NA
Day 1,worked well for the Version control and collaborative practices,The stepwise approach,NA
Day 1,could be improved for the Version control and collaborative practices,"I would like to move faster, but I guess this would be difficult",NA
Day 1,worked well for the Management of R projects,The hands on were really great,NA
Day 1,could be improved for the Management of R projects,Maybe we need more pre course work to prevent errors?,NA
Day 1,worked well for the Version control and collaborative practices,This was a really practical session. It is clear why we need version control.,NA
Day 1,could be improved for the Version control and collaborative practices,This one moved a lot slower for some reason. Maybe people had more complicated errors.,NA
Day 1,worked well for the Management of R projects,Very nice decriptions,NA
Day 1,could be improved for the Management of R projects,A bit confusing with all the abrreivation and what the commands are used for.,NA
Day 1,worked well for the Version control and collaborative practices,Very nice decriptions,NA
Day 1,could be improved for the Version control and collaborative practices,nothing,NA
Day 1,worked well for the Management of R projects,everything,NA
Day 1,could be improved for the Management of R projects,i don´t know,NA
Day 1,worked well for the Version control and collaborative practices,everything,NA
Day 1,could be improved for the Version control and collaborative practices,i don´t know,NA
Day 1,worked well for the Management of R projects,code-along and help from instructor and helpers,NA
Day 1,could be improved for the Management of R projects,"start with overview of the purpose of codes, as code-along is detail oriented",NA
Day 1,worked well for the Version control and collaborative practices,code-along and help from instructor and helpers,NA
Day 1,could be improved for the Version control and collaborative practices,"start with overview of the purpose of codes, as code-along is detail oriented",NA
Day 1,worked well for the Management of R projects,learned alot got alot of help,NA
Day 1,could be improved for the Management of R projects,"it was great, happy to be back in person",NA
Day 1,worked well for the Version control and collaborative practices,all,NA
Day 1,could be improved for the Version control and collaborative practices,better projector,NA
Day 1,worked well for the Management of R projects,The hands-on exercises,NA
Day 1,could be improved for the Management of R projects,Maybe a bit more explanation of what the packages are or why we are doing this (but that could be way too advanced - I don't know yet),NA
Day 1,worked well for the Version control and collaborative practices,Hands-on exercises,NA
Day 1,could be improved for the Version control and collaborative practices,can't think of anything,NA
Day 1,worked well for the Management of R projects,"Intro to structure of file-system and teaching of ""good habits"" when coding in R",NA
Day 1,could be improved for the Management of R projects,Explanation of the use of prodigenr and mentioning alternatives,NA
Day 1,worked well for the Version control and collaborative practices,Introduction to using git,NA
Day 1,could be improved for the Version control and collaborative practices,More information on how to collaborate with others and how to collaborate on e.g. a manuscript.,NA
Day 1,worked well for the Management of R projects,The hands-on and explanation. The pace of the class,NA
Day 1,could be improved for the Management of R projects,Nothing specific,NA
Day 1,worked well for the Version control and collaborative practices,Practice exercises and pace,NA
Day 1,could be improved for the Version control and collaborative practices,"Got slightly tired by the EOD, (might not be a productive feedback :/). Slightly worried if I will remember this tomorrow.",NA
Day 1,worked well for the Management of R projects,getting started,NA
Day 1,could be improved for the Management of R projects,"personally, I find it difficult to type a lot of commands without using hte commands on a dataset, but we have to start somewhere",NA
Day 1,worked well for the Version control and collaborative practices,"The alternation between read-youself, lectures and the asignments",NA
Day 1,could be improved for the Version control and collaborative practices,"Not much, better than the morning session",NA
Day 1,worked well for the Management of R projects,great introduction,NA
Day 1,could be improved for the Management of R projects,not much,NA
Day 1,worked well for the Version control and collaborative practices,very interesting and great to be hands on,NA
Day 1,could be improved for the Version control and collaborative practices,it is a bit long towards the end of the day,NA
Day 1,worked well for the Management of R projects,The code along sessions,NA
Day 1,could be improved for the Management of R projects,"To get a better understanding of the purpose of the different tasks, data examples would be good.",NA
Day 1,worked well for the Version control and collaborative practices,Good figures,NA
Day 1,worked well for the Management of R projects,Nice with code along,NA
Day 1,could be improved for the Management of R projects,"8.7: Clone it to your desktop, was not really clear",NA
Day 1,worked well for the Version control and collaborative practices,"My R didn't really work, so I got a lot of help and didn't follow Luke",NA
Day 1,could be improved for the Version control and collaborative practices,I think it is nice if R works,NA
Day 1,worked well for the Management of R projects,code-along,NA
Day 1,could be improved for the Management of R projects,more time,NA
Day 1,worked well for the Version control and collaborative practices,The exercises,NA
Day 1,worked well for the Management of R projects,It gave a nice introduction to R studio,NA
Day 1,could be improved for the Management of R projects,"I am still somehow confused about how Rstudio works, but I expect it to change within the next two days :-)",NA
Day 1,worked well for the Version control and collaborative practices,"Despite Git being complex, the session gave us a nice insight into how R and Git works and why it is useful",NA
Day 1,worked well for the Management of R projects,"Everything! Especially, code-along and help from the instructors.",NA
Day 1,could be improved for the Management of R projects,More consistence in introduction in why are we doing the small.,NA
Day 1,worked well for the Version control and collaborative practices,"Everything! Especially, code-along and help from the instructors. And the repetition of the assignment (repetitions makes perfect)",NA
Day 1,could be improved for the Version control and collaborative practices,I have nothing to add here,NA
Day 1,worked well for the Management of R projects,"I think that everything worked well but I am a bit confused in general. However, I guess everything will fall into place during the next days:-)",NA
Day 1,could be improved for the Management of R projects,I don´t have any specific feedback.,NA
Day 1,worked well for the Version control and collaborative practices,It was nice repeating everything.,NA
Day 1,could be improved for the Version control and collaborative practices,I don´t have any specific feedback.,NA
Day 1,worked well for the Management of R projects,"BAsically everything worked well. The material is clear and it's nice that most of the coding is done as ""code along"".",NA
Day 1,could be improved for the Management of R projects,Perhaps a little more pre-course preparation would be nice to get some background knowledge of git - basically just reading the material that we read during the day. I just find it hard to concentrate on reading rather than listening or watching during the course day.,NA
Day 1,worked well for the Version control and collaborative practices,"Same as for ""Management of R projects"" session.",NA
Day 1,could be improved for the Version control and collaborative practices,"See previous answer for ""Management of R projects"" session"".",NA
Day 1,worked well for the Management of R projects,There was good time for the practise part of the sessíon,NA
Day 1,could be improved for the Management of R projects,a bit more information on why we load the different packages/background on how R works,NA
Day 1,worked well for the Version control and collaborative practices,"That we did the commit push pull many times - that helped me understanding better how Rstudio, GIt and Github are linked/connected",NA
Day 1,could be improved for the Version control and collaborative practices,"I felt that we went a bit fast over the ""Work a long"" parts so I had a hard time actually following the coding",NA
Day 1,worked well for the Management of R projects,"The whole thing worked well. Especially, the combined code-along and reading-time.",NA
Day 1,could be improved for the Management of R projects,"Maybe a little more explanation for certain steps - what does it mean, what does it do, why do we do it. But otherwise very good",NA
Day 1,worked well for the Version control and collaborative practices,Really good examples and explanations on why Git is handy to use,NA
Day 1,could be improved for the Version control and collaborative practices,Learning a bit more about history - that you can see the changes you've made there.,NA
Day 1,worked well for the Management of R projects,Coding along worked very well,NA
Day 1,could be improved for the Management of R projects,I don't know,NA
Day 1,worked well for the Version control and collaborative practices,I have a hard time telling the different part apart,NA
Day 1,could be improved for the Version control and collaborative practices,As above,NA
Day 1,worked well for the Management of R projects,Very nice that everything is written out in the booklet/material if you loose track (or like me have too bad eyesight to see what is being typed on the overhead).,NA
Day 1,could be improved for the Management of R projects,Maybe a little tiny bit more explanation on the progedinr.,NA
Day 1,worked well for the Version control and collaborative practices,Same as above.,NA
Day 1,could be improved for the Version control and collaborative practices,nothing comes to mind,NA
