session_name,question,response,course_name
Day 3,worked well for the Data visualization,"Really nice walkthrough if ggplot, and nice with the markdown integration.",NA
Day 3,could be improved for the Data visualization,"the wrongly ordered factors were an eyesore, and I think it would be a nice addon to address how they can be rearranged",NA
Day 3,could be improved for the group project assignment,nil,NA
Day 3,worked well for the group project assignment,"I had to leave early, but it was nice to be able to put what i had learned in to use.",NA
Day 3,worked well for the Data visualization,It was all great. Great explanations and good speed.,NA
Day 3,could be improved for the Data visualization,nothing:),NA
Day 3,could be improved for the group project assignment,nothing,NA
Day 3,worked well for the group project assignment,The assignement description and the helpers :) :),NA
Day 3,worked well for the Data visualization,It was great to try out different graphs and get a sense of what was possible. The tempo was nice,NA
Day 3,worked well for the group project assignment,It was nice to work together and utilize what we learned. It was nice that we could try out assignments that are relevant for our own projects,NA
Day 3,worked well for the Data visualization,The many code-alongs training similar things. Worked well to get used to the codes,NA
Day 3,could be improved for the Data visualization,It was really nice,NA
Day 3,could be improved for the group project assignment,It was a little tight with time - it was OK though :),NA
Day 3,worked well for the group project assignment,The dataset was nicely chosen and the tasks relevant to tasks we will do in our daily work,NA
Day 3,worked well for the Data visualization,The pace of the lecture. The hands on part doing the exercises.,NA
Day 3,could be improved for the Data visualization,Nothing.,NA
Day 3,could be improved for the group project assignment,Nothing.,NA
Day 3,worked well for the group project assignment,Great amount of time to do the lecture.,NA
Day 3,worked well for the Data visualization,"Thorough introduction - a bit fast because we were short on time, but it was manageable",NA
Day 3,could be improved for the group project assignment,Maybe in pairs next time,NA
Day 3,worked well for the group project assignment,For our group: in pairs,NA
Day 3,worked well for the Data visualization,Well paced,NA
Day 3,could be improved for the Data visualization,Show us how to change the colors :-),NA
Day 3,could be improved for the group project assignment,Maybe more troubleshoot codes on the webpage,NA
Day 3,worked well for the group project assignment,Appropriate amount of time.,NA
Day 3,worked well for the Data visualization,Everything! Think it was super great,NA
Day 3,could be improved for the Data visualization,"Honestly.. Nothing, only more time!",NA
Day 3,could be improved for the group project assignment,Maybe groups of 2 would be better,NA
Day 3,worked well for the group project assignment,It was super fun collaborating with others,NA
Day 3,worked well for the Data visualization,"very clear instructions, and also seeing nice graphs is very satisfactory",NA
Day 3,could be improved for the Data visualization,more time,NA
Day 3,could be improved for the group project assignment,assign more time for a project assignment,NA
Day 3,worked well for the group project assignment,we worked as a team,NA
Day 3,worked well for the Data visualization,NIce layered approach.,NA
Day 3,could be improved for the Data visualization,"More information about customizing charts, labels positions etc.",NA
Day 3,could be improved for the group project assignment,"The timeline is a bit short. Perhaps a more detailed assignment. I think we spent too much time on ""Tidying"" up the dataset.",NA
