session_name,question,response,course_name
Day 1,worked well for the Management of R projects,All of it ;) The code alongs and the sticker-helping system in particular was brilliant.,NA
Day 1,could be improved for the Management of R projects,Nothing I can think of :),NA
Day 1,worked well for the Version control and collaborative practices,All of it ;) The code alongs and the sticker-helping system in particular was brilliant.,NA
Day 1,could be improved for the Version control and collaborative practices,nothing :),NA
Day 1,worked well for the first day's Social/Networking activity,Good way to get to know one another,NA
Day 1,could be improved for the first day's Social/Networking activity,nothing,NA
Day 1,worked well for the Management of R projects,"Great helper packages, I particularly like the directory setup package.",NA
Day 1,could be improved for the Management of R projects,"Maybe allow students to read prior to the course, and use the course time for more code-along sessions.",NA
Day 1,worked well for the Management of R projects,The opportunity to get moving for the group exercise was great,NA
Day 1,could be improved for the Management of R projects,Potentially give sources for structure systems,NA
Day 1,worked well for the Version control and collaborative practices,very well written,NA
Day 1,could be improved for the Version control and collaborative practices,not sure,NA
Day 1,worked well for the first day's Social/Networking activity,It was great with the pre detailed teams,NA
Day 1,could be improved for the first day's Social/Networking activity,"The aquatics in the dining hall was not to good, so it was hard to initiate talks in groups",NA
Day 1,worked well for the Management of R projects,Getting to know the basics of R and learning how to manage projects in R was helpful,NA
Day 1,could be improved for the Management of R projects,Could be a bit more hands on work included,NA
Day 1,worked well for the Version control and collaborative practices,introduction to github and its functions was good and its something I can use in the future,NA
Day 1,could be improved for the Version control and collaborative practices,Could be a bit more hands on work included,NA
Day 1,worked well for the first day's Social/Networking activity,Was good to hear other people's experiences,NA
Day 1,could be improved for the first day's Social/Networking activity,Whole group could be incorporated,NA
Day 1,worked well for the Management of R projects,"The blend of discussion, reading and presenting",NA
Day 1,could be improved for the Management of R projects,I think it worked well!,NA
Day 1,worked well for the Version control and collaborative practices,Again the mix of teaching styles,NA
Day 1,could be improved for the Version control and collaborative practices,"Pace in the beginning a little slow, but fine during the exercises",NA
Day 1,worked well for the first day's Social/Networking activity,Pre-assigned groups worked well,NA
Day 1,could be improved for the first day's Social/Networking activity,Lunch break + networking was a little long,NA
Day 1,worked well for the Management of R projects,Help was quickly and easily available,NA
Day 1,could be improved for the Management of R projects,Not sure I can think of any improvements,NA
Day 1,worked well for the Version control and collaborative practices,"Nice tempo, so everyone could keep along",NA
Day 1,could be improved for the Version control and collaborative practices,Not sure what to improve.,NA
Day 1,worked well for the first day's Social/Networking activity,It was a good idea that we should go for a walk and get some fresh air.,NA
Day 1,could be improved for the first day's Social/Networking activity,Maybe you could make new groups so we would talk to someone we werent already seated with during class.,NA
Day 1,worked well for the Management of R projects,"Neatly introduction to the projects function, i dident know abot this.",NA
Day 1,could be improved for the Management of R projects,from the back row the screen was hard to see :-(,NA
Day 1,worked well for the Version control and collaborative practices,"The R interface with GIT is nice, nice slow pace",NA
Day 1,could be improved for the Version control and collaborative practices,Github internet stability 🙃🙃,NA
Day 1,worked well for the first day's Social/Networking activity,Great people,NA
Day 1,could be improved for the first day's Social/Networking activity,It rained 😶‍🌫️,NA
Day 1,worked well for the Management of R projects,Everything: especially the pace (for beginners),NA
Day 1,could be improved for the Management of R projects,Nothing,NA
Day 1,worked well for the Version control and collaborative practices,The thorough introduction to GitHub and version control in general,NA
Day 1,could be improved for the Version control and collaborative practices,Nothing; we experienced issues with the internet on our course,NA
Day 1,worked well for the first day's Social/Networking activity,walk and talk,NA
Day 1,could be improved for the first day's Social/Networking activity,Nothign,NA
Day 1,worked well for the Management of R projects,Good basic start,NA
Day 1,could be improved for the Management of R projects,..,NA
Day 1,worked well for the Version control and collaborative practices,Good with the website for looking up stuff and tutorial,NA
Day 1,could be improved for the Version control and collaborative practices,"Could use some time to talk about good practices in version and collaborative practices; can you lock files so others don't edit when you're doing so, etc.",NA
Day 1,worked well for the first day's Social/Networking activity,Good discussion on the topic,NA
Day 1,could be improved for the first day's Social/Networking activity,"A bit more time for this, could reduce the time for some of the coffee breaks",NA
Day 1,worked well for the Management of R projects,Everything! So well-polished!!,NA
Day 1,could be improved for the Management of R projects,"Nothing, I think",NA
Day 1,worked well for the Version control and collaborative practices,Most of it,NA
Day 1,could be improved for the Version control and collaborative practices,"I think the flow was a little bit off, as we read a lot and then the ""helper"" tried to sum it up, but it got a little bit messy.",NA
Day 1,worked well for the first day's Social/Networking activity,That we had a chance to walk around,NA
Day 1,could be improved for the first day's Social/Networking activity,I think the questions were very repetitive - think we had already discussed most of it.,NA
Day 1,worked well for the Management of R projects,All were well,NA
Day 1,could be improved for the Management of R projects,No comment,NA
Day 1,worked well for the Version control and collaborative practices,All good,NA
Day 1,could be improved for the Version control and collaborative practices,No comment,NA
Day 1,worked well for the first day's Social/Networking activity,Could be improved if randomly placed student on the seats for lunch,NA
Day 1,could be improved for the first day's Social/Networking activity,above mentioned,NA
Day 1,worked well for the Management of R projects,The tempo and the feedback model (labels) worked well. Good amount of time to read and work with tasks.,NA
Day 1,could be improved for the Management of R projects,Nothing.,NA
Day 1,worked well for the Version control and collaborative practices,The tempo and the feedback model (labels) worked well. Good amount of time to read and work with tasks.,NA
Day 1,could be improved for the Version control and collaborative practices,Nothing.,NA
Day 1,worked well for the first day's Social/Networking activity,It was good that the teachers suggested that we should talk with scientist we do not know.,NA
Day 1,could be improved for the first day's Social/Networking activity,Nothing,NA
Day 1,worked well for the Management of R projects,It was nice that it was a very slow introduction,NA
Day 1,could be improved for the Management of R projects,cant think of anything,NA
Day 1,worked well for the Version control and collaborative practices,again taking it slowly was nice,NA
Day 1,could be improved for the Version control and collaborative practices,difficult to imaging how version control ACTUALLY looks. Like seeing an example earlier could be nice.,NA
Day 1,worked well for the first day's Social/Networking activity,Going outside after lunch was a good break,NA
Day 1,could be improved for the first day's Social/Networking activity,Maybe an interaction with another group? Otherwise nothing :-),NA
Day 1,worked well for the Management of R projects,I actually think everything worked well. It was a very nice touch to add the direct livestream for the people in the back.,NA
Day 1,could be improved for the Management of R projects,Nothing that I can immediately think of.,NA
Day 1,worked well for the Version control and collaborative practices,"I also think this worked really well. I think the instructor was really good at being slow and patient, and it was really easy to follow.",NA
