questions,responses
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,A systematic way to do projects in R and save it.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"At the end of this course, I hope I will be able to confidently create and make use of functions. Basically, just get a better workflow and grasp of R and how it can be used optimally for data cleaning and management"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Be better at functions and work in Markdown with Git
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Become more proefficient in writing code in R, especially using loops and functions"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Better understand of R, Rstudio and Git and learning to use it more systematically in data analysis and management"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Functions baby! I just hope to expand my R knowledge and learn new ways to optimize my coding while keeping it reproducible.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Hopefully I will be more confident in using different tools to ensure proper reproducibility in my research
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"How to do data science in a way that is more orderly and robust and a little less ""cowboy style"""
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I am expected to learn a better way to write reproducible codes, make and use efficient functions"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to get greater knowledge on R language and reproducible data to use for my own reproducible analyses. I got a good insight and understanding of R and Git/GitHub connection at the intro course and therefore anticipate to get even more knowledge and understanding from the intermediate course. I am to start my own analyses soon and hopefully I can apply this knowledge when working with my data.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn how I can work with datasets; download, cleaning up and processing. And how this is done in a reproducible and open way."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn the tools of how to start analysing my data in R (which I will do over the summer). As I will be collaborating with others, it will be great to expand my knowledge in reproducibility, data tidying and sharing via Git."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I hope to gain basic skills in reproducible data management and data analysis for my research year project.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to learn to write more clear scripts, that are easier to get back to and understand"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I learnt a lot from the introduction course, and I hope to be able to add on to the skills learned there. I am currently working with data analysis, and I hope to learn how to optimize my work."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would just like to continue on my R and reproducibility journey as I thought the first course was absolutely excellent, and I've been able to use a lot of the tools I learned from that course in my research. I don't think I have a specific goal in mind for what I'd like to learn."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like be more comfortable writing code in R and rely less on copy pasting old code that I know works.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would like to learn and pratice cleaning up my data. Using tidyverse. I often struggle with analyzing my results, what does my results show, and what can i conclude."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn how to use functionals and not repeat my self a 1000 times in one script, learn better R-workflow and more efficient coding and learn why GitHub is so nice"
