questions,responses
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Become comfortable in creating pipeline and automatize raw data analysis and how to perform statistical analysis on it
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Creating data analysis projects
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Data analysis pipeline - more efficient
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Easy dataflow, quick processing, making reproducible and disseminating"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Expect to learn ways to write and share code in a way that promotes collaboration, but also learn ways to work with code in a time efficient way to be able to continue research work when also working clinically as a medical doctor. And then I'm looking forward to meeting others beeing interested in discussing coding and being creative in solving coding challenges."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Further my skills in a rational and reproducible workflow in R, that I would then apply for my upcoming data analysis for my dissertation."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Get a better understanding of automated pipelines and make more accessible code to increase collaborations and reproducibility.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Have a better framework to work reproducibly and collaborate
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"How to pipeline my statistical analysis in R, in a reproducible manner"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I expect nothing but greatness, after this course, I will be able to create the best R packages ever and my pipelines will be easily shared and never fail."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to be able to produce reproducible code that can be read and understood by other researchers.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to become more proficient and knowledgeable in doing good reproducible bioinformatic research. I aim to apply my learned knowledge to build my own high-quality analysis pipelines.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to improve on what I am currently doing regarding my analysis pipeline to make the pipeline easier to share and easier to interpret for others (and myself at a later time).
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to learn how to be better at setting up my analyses for other people to read and learn about new tools and packages to make these things easier. I would like to incorporate that new knowledge into my daily workflow to avoid extra work of tidying up at the end. I would like all of my code to be very neat and easy to read/reproducible. Also to aid in collaboration with others.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I hope to learn more about automated analysis pipelines and generally acquire new skills in R
