questions,responses
Why do you want to attend this course?,"As a new researcher, I appreciate the opportunity to get a basic introduction to R and RStudio, while I am learning to conduct research during my research year. In addition, I am excited to meet fellow researchers and get a deeper insight into the community"
Why do you want to attend this course?,I am to work on UK Biobank data in R for my main studies during the PhD and thus need to know how to use R for the different analyses
Why do you want to attend this course?,I don't have much experience with git and tidyverse and the whole approach to reproducibility appealed to me. This seems like a good course to learn “how to do R the right way” instead of me just messing around.
Why do you want to attend this course?,"I need to work in R to conduct my research, and I wanted a proper introduction to the basics of the program."
Why do you want to attend this course?,"I really want to be able to use R and be better at data-analysis, I am to use it in my PhD and right now I know nothing."
Why do you want to attend this course?,I want to get better at R so I can use it to process my own sequencing (+other) data
Why do you want to attend this course?,"I want to learn to use R in a structured and reprodusible way, in order to be better at doing statistical analyses and to be able to share research with collaborators."
Why do you want to attend this course?,I want to see if I can use R as my preferred statistical program in my research career
Why do you want to attend this course?,"I want to understand the black box I feel using R is now and after reading the introduction and I also very excited to get to know Git and understand GitHub (Before reading this I was not aware of the differences, but looks forward to have a great way to track changes)"
Why do you want to attend this course?,I want to use R in dataanalysis in my phd project and i future research
Why do you want to attend this course?,I work with Basic Science and this course will allow me to analyse my data in a proper and independent way
Why do you want to attend this course?,I would like to learn to perform reproducible and sharable data analysis.
Why do you want to attend this course?,To be able to write R code for my future statistical analyses
Why do you want to attend this course?,To become better/more familiar in using R code. R will be used as statistical package when doing the data analyses for my PhD thesis.
Why do you want to attend this course?,To become more familiar with R and R-studio
Why do you want to attend this course?,To gain basic knowledge on R (and data analysis) for my PhD project
Why do you want to attend this course?,To get a better understanding of how to use R for my own research
Why do you want to attend this course?,To improve my R coding and research skills ahead of data management and analyses on my research year project.
Why do you want to attend this course?,"To improve my methods of data preparation, analysis and reporting in a more reproducible way."
Why do you want to attend this course?,"To learn R basics, specifically how to make sure my process and analyses are reproducible (and reversible, if I make mistakes). Also how to create tidy data from RedCAP data, if possible."
Why do you want to attend this course?,To learn how to better use R to analyse my data
Why do you want to attend this course?,To learn how to use R
Why do you want to attend this course?,"To learn more about structuring projects, and hopefully learn some new tricks in R"
Why do you want to attend this course?,"To optimise my data analysis, and giving me to tools to analyse larger data sets."
Why do you want to attend this course?,"To recap how to use R (have not used for 3 years).To become more aware on how to use it in a smart and reproducible way, that is transparrent to my collaborators but also those looking at my work in the future.To feel more secure to engage in conversations about coding/repositories at my work place."
Why do you want to attend this course?,"To strengthen my knowledge of using the R environment, smart solutions for automation processes and track record of scientific processes."
Why do you want to attend this course?,To use r for my data
Why do you want to attend this course?,what to learn git version control
"In your opinion, what worked well?","A very nice, short and concise Pre-Course chapter. I loved the r3 package functions for installing all the needed packages in one go."
"In your opinion, what worked well?",Everything was explained clearly
"In your opinion, what worked well?",Great pre course intro - straight to the point
"In your opinion, what worked well?",Great with an webpage based syllabus and task environment.
"In your opinion, what worked well?",I had a lot of problems installing homebrew due to that my computer has MacOS Ventura and I needed to use another code to install homebrew in the terminal (that took quite a while to figure it out).
"In your opinion, what worked well?","I haven't made considerable progress yet, and I believe it's too soon to make any remarks."
"In your opinion, what worked well?",I liked the format of the html and how the sites were set up.
"In your opinion, what worked well?","I really enjoyed reading the code of conduct, I think all courses should include that."
"In your opinion, what worked well?",I think the R code for installing packages worked well.
"In your opinion, what worked well?","I think the structure worked quite well, and the interactiveness"
"In your opinion, what worked well?",It is nice to get a general introduction and make sure we all have installed the programs in order to not waste time.
"In your opinion, what worked well?",It is structured and consise. Easy to follow up.
"In your opinion, what worked well?",It was interactive in the way of guiding me through how to setup R.
"In your opinion, what worked well?",It was very easy to follow and gave access to further knowledge if interested.
"In your opinion, what worked well?","Super easy to understand, and well written. Nice to be guided through the setup."
"In your opinion, what worked well?",The codes presented worked as they were supposed. It was nice with a video illustrating some of the things needed to be done in R.
"In your opinion, what worked well?","The detailed run though of "" and setup was nice. I like the references with links to other sections in the pre-course section, so I could easily find the sections referred to without leaving the pre-course section."
"In your opinion, what worked well?","The guides for installing packages, finding Git etc. worked well / were easy to follow. The amount of pre-course preparations are doable."
"In your opinion, what worked well?",The introduction and the general
"In your opinion, what worked well?","The introduction was very well described. I learned some and is even more excited for the course. It is great that we are on the same page when starting the course, and to feel prepared for the course."
"In your opinion, what worked well?",The pre-course material was laid out in a well-organized and understable matter.
"In your opinion, what worked well?",The step by step instructions and the codes written up clear so there arent any doubts of when to do something
"In your opinion, what worked well?",The web-based introductory steps and short videos
"In your opinion, what worked well?","Very well written text material, not too complicated codes. It is nice to feel prepared going into a course, and these pre-course tasks helped me prioritize preparation in-between a lot of other working tasks."
"In your opinion, what worked well?",Well written and structured material.
"In your opinion, what worked well?",Well written material that is easy to understand and easy to navigate online
"In your opinion, what worked well?",all fine
"In your opinion, what worked well?",the instructions for instaling git etc are super clear
"In your opinion, what could be improved?","For me, it would be okay to introduce basic commands for practice."
"In your opinion, what could be improved?","From my experience, troubleshooting in the package installation process could be helpful"
"In your opinion, what could be improved?",I don't enjoy having to use your custom package to install packages (but I think I might not be the target). I also am curious why we are not creating an environment with renv::
"In your opinion, what could be improved?","I got an error message that the r3 package did not exist. I use the newest R, and I could not solve this problem. This made it hard to figure out if I configured Git correct. Also, I have no ""Git"" tab in my R Studio - also unable to find out why"
"In your opinion, what could be improved?","I had some issues with some command in the installation of r3 from rostools and had to use alternative commands to make it work. The pak::pkg_install command did not work, so I used: install_github(""rostools/r3"") instead, but were unable to update 12 of the packages"
"In your opinion, what could be improved?",I think all was good
"In your opinion, what could be improved?","I think there could be a much more thorough explanation as to how to install Homebrew and Git - I've never used the terminal, and I suspect a lot of other people haven't either, so this really took me longer than it should have. Also if it hadn't been for ChatGPT I think I'd still be in the weeds."
"In your opinion, what could be improved?",It could be better if everything was in a sequence so there isnt links to follow and then go back and forth
"In your opinion, what could be improved?","It is quite text heavy. Also, eventhough I followed the given instructions, my Rstudio could not perform the commands. Some setups on my laptop had to be altered, which chatGTP helped me with. Then it worked fine :-)"
"In your opinion, what could be improved?","It was a bit confusing having to jump between diffent sections in the pre-course material. Maybe it would be preferable, if all the precourse material came in one gathered document or at one contineous webpage."
