statement,response,n
Please complete these questions about the workshop. I think I learned a lot from this workshop,Agree,6
Please complete these questions about the workshop. I think I learned a lot from this workshop,Neutral,1
Please complete these questions about the workshop. I think I learned a lot from this workshop,Strongly agree,1
Please complete these questions about the workshop. I think the content on the website clearly communicated the concepts,Agree,1
Please complete these questions about the workshop. I think the content on the website clearly communicated the concepts,Strongly agree,7
Please complete these questions about the workshop. I think the instructors clearly communicated the concepts,Agree,2
Please complete these questions about the workshop. I think the instructors clearly communicated the concepts,Strongly agree,6
Please complete these questions about the workshop. I think there was a good mix of learning activities that encouraged my active participation,Agree,4
Please complete these questions about the workshop. I think there was a good mix of learning activities that encouraged my active participation,Neutral,1
Please complete these questions about the workshop. I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,3
Please complete these questions about the workshop. I think there was good alignment between the learning activities,Agree,3
Please complete these questions about the workshop. I think there was good alignment between the learning activities,Neutral,1
Please complete these questions about the workshop. I think there was good alignment between the learning activities,Strongly agree,4
"Please complete these questions about the workshop. I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,1
"Please complete these questions about the workshop. I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,1
"Please complete these questions about the workshop. I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,6
"Please complete these questions about the workshop. In general, I think this was a good workshop",Agree,4
"Please complete these questions about the workshop. In general, I think this was a good workshop",Strongly agree,4
