session_name,question,response,course_name
Day 1,worked well for the Management of R projects,all,NA
Day 1,could be improved for the Management of R projects,more of practice,NA
Day 1,worked well for the Version control and collaborative practices,all,NA
Day 1,could be improved for the Version control and collaborative practices,more practice,NA
Day 1,worked well for the Management of R projects,nice mix between exercises and lecture,NA
Day 1,could be improved for the Management of R projects,sometimes it takes long time in the code along because someone has an error,NA
Day 1,worked well for the Version control and collaborative practices,nice mix between exercises and lecture,NA
Day 1,could be improved for the Version control and collaborative practices,sometimes it takes long time in the code along because someone has an error,NA
Day 1,worked well for the Management of R projects,step by step guide,NA
Day 1,could be improved for the Management of R projects,Explain the overall aim not only how to do it.,NA
Day 1,worked well for the Version control and collaborative practices,step by step guide,NA
Day 1,could be improved for the Version control and collaborative practices,Explain the overall aim not only how to do it.,NA
Day 1,worked well for the Management of R projects,The  notes for what was being done,NA
Day 1,could be improved for the Management of R projects,perhaps begin with where to work with R code rather then  github,NA
Day 1,worked well for the Version control and collaborative practices,The  instructions were easy to follow and clear.,NA
Day 1,could be improved for the Version control and collaborative practices,May be group practice will give more time to go over the steps and let it sink in,NA
Day 1,worked well for the Management of R projects,"Nice interaction between slide set, text guide and tasks.",NA
Day 1,could be improved for the Management of R projects,Nothing to add.,NA
Day 1,worked well for the Version control and collaborative practices,Availability to help.,NA
Day 1,could be improved for the Version control and collaborative practices,Better preparation on software updates and interfaces.,NA
Day 1,worked well for the Management of R projects,Slow and steady teaching. Great help.,NA
Day 1,could be improved for the Management of R projects,More time for hands on. More practice.,NA
Day 1,worked well for the Version control and collaborative practices,Similar as above,NA
Day 1,could be improved for the Version control and collaborative practices,More time for hands on practice.,NA
Day 1,worked well for the Management of R projects,Code-along worked very well.,NA
Day 1,could be improved for the Management of R projects,"Maybe you could add a bit more too how to do ""neat"" coding.",NA
Day 1,worked well for the Version control and collaborative practices,Explanation of git was very good.,NA
Day 1,could be improved for the Version control and collaborative practices,Would like to know how to use the history of changes can be used.,NA
Day 1,worked well for the Management of R projects,"The ""code along""/""watch while we go through""-approach",NA
Day 1,could be improved for the Management of R projects,"If you insist on introducing vectors, naming and syntax at this point, maybe you could tell a little more about what it is used for",NA
Day 1,worked well for the Version control and collaborative practices,"Rather difficult stuff, but again the code-along approach really helps.",NA
Day 1,could be improved for the Version control and collaborative practices,Nothing really,NA
Day 1,worked well for the Management of R projects,Connecting the Rstudio to the Github,NA
Day 1,could be improved for the Management of R projects,all is fine,NA
Day 1,worked well for the Version control and collaborative practices,It was so practical,NA
Day 1,could be improved for the Version control and collaborative practices,all is fine,NA
Day 1,worked well for the Management of R projects,Made my first R project.,NA
Day 1,could be improved for the Management of R projects,Could probably go quicker through this section.,NA
Day 1,worked well for the Version control and collaborative practices,"Really helpful for using Git/Github, creating repo's, cloning, push and pull.",NA
Day 1,could be improved for the Version control and collaborative practices,"Couldn't quite get through all of the exercises in class, just managed to make it to 5.10",NA
Day 1,worked well for the Management of R projects,It was easy to follow along and do the tasks,NA
Day 1,could be improved for the Management of R projects,It is a bit overwhelming to memorize the style guide rules (even though we don't need to memorize everything),NA
Day 1,worked well for the Version control and collaborative practices,It was easy to understand what is means,NA
Day 1,could be improved for the Version control and collaborative practices,"Git is a bit complicated to understand, but I guess it will get better tomorrow :)",NA
Day 1,worked well for the Management of R projects,Code-along is a really good way of learning.,NA
Day 1,could be improved for the Management of R projects,good background understanding for R. Nice to get a good understanding of the importance of style.,NA
Day 1,worked well for the Version control and collaborative practices,Good pace so that you do not get lost,NA
Day 1,could be improved for the Version control and collaborative practices,"sorry, I have no concrete improvements",NA
Day 1,worked well for the Management of R projects,the syllabus material,NA
Day 1,could be improved for the Management of R projects,"More basic R understanding and usage before moving on, please",NA
Day 1,worked well for the Version control and collaborative practices,The syllabus material,NA
Day 1,could be improved for the Version control and collaborative practices,I'm having troubles understanding how this will fit in with my daily work. I feel it is a bit yo much. I don't really understand R yet,NA
Day 1,worked well for the Management of R projects,Everything worked very well,NA
Day 1,could be improved for the Management of R projects,"Maybe on the last day, I will be able to come up with comments",NA
Day 1,worked well for the Version control and collaborative practices,"It actually was not my main interest to join this course (maybe will be on later stage), but I clearly can see the advantages",NA
Day 1,could be improved for the Version control and collaborative practices,None,NA
Day 1,worked well for the Management of R projects,Clear description of what to do,NA
Day 1,could be improved for the Management of R projects,"I will prefer to add a section about ""how to upload your data"" e.g.  have an example with data in an excel file instead of ""air quality"".",NA
Day 1,worked well for the Version control and collaborative practices,Clear description,NA
Day 1,could be improved for the Version control and collaborative practices,"It is not necessary to include ""what do we think is difficult in our collaboration now"".",NA
Day 1,worked well for the Management of R projects,Really helpful you started from the very basics. You made sure everyone was on the same page. Good with small breaks and asignments(plus code alongs),NA
Day 1,could be improved for the Management of R projects,"Some of the areas was not completely clear, eg. what to use them for (eg the here function)",NA
Day 1,worked well for the Version control and collaborative practices,"Didnt know you could do this, so really helpful and I would never had figured it out on my own.",NA
Day 1,could be improved for the Version control and collaborative practices,Difficult to have a clear perception/flow/concentration because there was many interruptions (mainly due towindows/mac differences),NA
Day 1,worked well for the Management of R projects,"I liked the idea of structuring my projects, until now I have been doing things the messy way so I got nice inspiration from this session",NA
Day 1,could be improved for the Management of R projects,I don't have any complains,NA
Day 1,worked well for the Version control and collaborative practices,I found the intro to git really comprehensive and I liked to see the examples on version control provided,NA
Day 1,could be improved for the Version control and collaborative practices,I think we could have used a bit more time exploring the github website. I understand it is difficult to include everything into only one session though.,NA
Day 1,worked well for the Management of R projects,"Creating R project/repository and save all the files in that folder, so that everything can be traced back.",NA
Day 1,could be improved for the Management of R projects,"If that was explained with an example of previous data (data frame), I think it would be very nice.",NA
Day 1,worked well for the Version control and collaborative practices,Learning about Git and Git hub,NA
