session_name,question,response,course_name
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Nice pace of the class, not too slow and not too fast :)",NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","I am not sure, I think it was a super good session",NA
Day 2,worked well for the Processing and joining datasets for cleaning,"Nice pace of the class, not too slow and not too fast :)",NA
Day 2,could be improved for the Processing and joining datasets for cleaning,"I am not sure, I think it was a super good session",NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Great exercises,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Could perhaps speed things along although I appreciate that everyone needs to be able to follow the lessons,NA
Day 2,worked well for the Processing and joining datasets for cleaning,Great exercises. Very usable functions,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,Don't know. Maybe as above,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Good teaching and exercises.,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",A little more exercise and less group talk,NA
Day 2,worked well for the Processing and joining datasets for cleaning,Same as above,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,Same as above,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Good flow, much less of speaker talking over supervisors which was nice.",NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","I have no complaints, and no ideas for improvements",NA
Day 2,worked well for the Processing and joining datasets for cleaning,"Same as before, applies to all sessions, but really good combination of reading, having it explained, coding together and then on your own, slowly but effectively builds understanding and confidence in what you do. Also nice with many repetitions of the things from yesterday, e.g. making functions - difficult (for beginners at least) tasks that are really nice to repeat in different variations.",NA
Day 2,could be improved for the Processing and joining datasets for cleaning,I think you're already doing great!,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Good presentation. It was made simple, though complex subject",NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",nothing,NA
Day 2,worked well for the Processing and joining datasets for cleaning,again it worked well with the switch between presentation and coding,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,a little break needed,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",explained really well,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",more contents,NA
Day 2,worked well for the Processing and joining datasets for cleaning,explained really well,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,more contents,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",making function to import data sets,NA
Day 2,worked well for the Processing and joining datasets for cleaning,join all function,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,nothing,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",They instructions were good,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",perhaps a summary at the end of the session will be good as it was spread over two days,NA
Day 2,worked well for the Processing and joining datasets for cleaning,explanation and coding along,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,The excercise instructions could be a bit clearer,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Almost all,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Less time for reading,NA
Day 2,worked well for the Processing and joining datasets for cleaning,Almost all,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,Less time for reading,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",everything,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Need to write more clear that you have to save your markdown file/scripts before restarting and checking the functionsStart earlier - 8 o'clock?,NA
Day 2,worked well for the Processing and joining datasets for cleaning,Creating functions and buidling upon knowledge from yesterday,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,More short breaks instead of one long for eating lunch. The last our was looong.,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","It was useful to learn how to use the functionals to manipulate data frames (summarising statistics, renaming etc.)",NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","Maybe a little more ""how to use this on your own data sets""",NA
Day 2,worked well for the Processing and joining datasets for cleaning,A nice introduction to clean and effective ways of preparing and joining data frames.,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,Nothing really,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",reading and practice,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",no comments,NA
Day 2,worked well for the Processing and joining datasets for cleaning,reading and practice,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,no comments,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",exercises were more complicated than yesterday,NA
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","Asking us to read a section, and then repeating what was important from the section seemed a bit.... repetitive",NA
Day 2,worked well for the Processing and joining datasets for cleaning,The figures from the website explaining joining (and the functionals) were very helpfull,NA
Day 2,could be improved for the Processing and joining datasets for cleaning,the rules of the regex was really hard to grasp,NA
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",It was a reall productive session. I have been using apply before but it has been cool to see the dplyr alternative and dig in on how it works,NA
