session_name,question,response,course_name
Day 1,worked well for the Smoother Collaboration,The live coding worked really well and it was easy to follow,NA
Day 1,could be improved for the Smoother Collaboration,"It was difficult to concentrate when some people encountered errors and needed to troubleshoot them with the instructors while we moved on, but I understand that that is unavoidable",NA
Day 1,worked well for the Networking Activities,It was great to meet others and hear about their collaboration practices,NA
Day 1,could be improved for the Networking Activities,"It was too loud, perhaps the group could be split into two and do the ""speed dating"" activity in separate rooms",NA
Day 1,worked well for the Smoother Collaboration,interactive exercises,NA
Day 1,could be improved for the Smoother Collaboration,pre-reading about the topic would be better to understand,NA
Day 1,worked well for the Networking Activities,talking to different people,NA
Day 1,could be improved for the Networking Activities,would be nice to know participants' own projects,NA
Day 1,worked well for the Smoother Collaboration,rmarkdown yaml header and lintr,NA
Day 1,could be improved for the Smoother Collaboration,have participants use Gitdesktop to increase speed of repo pushing to github,NA
Day 1,worked well for the Networking Activities,quickly learned peoples purpose of attending course,NA
Day 1,could be improved for the Networking Activities,smaller groups,NA
Day 1,worked well for the Smoother Collaboration,Really well explained. Luke is an outstanding teacher and the support website is super helpful.,NA
Day 1,could be improved for the Smoother Collaboration,The speed was a little slow - though i understand that is designed to allow for troubleshooting at different moments,NA
Day 1,worked well for the Networking Activities,Good to talk to different people,NA
Day 1,could be improved for the Networking Activities,I would have liked to not have been constrained by the set questions - though i understand they are helpful to some,NA
Day 1,worked well for the Smoother Collaboration,It's a nice walk through a robust setup for projects,NA
Day 1,could be improved for the Smoother Collaboration,"Maybe it will come the following days, but maybe a ""rundown file""/cheat sheet for setting up a project with proper settings, packages and conditions.",NA
Day 1,worked well for the Networking Activities,Nice doing some talking after lunch,NA
Day 1,could be improved for the Networking Activities,Nothing really. 15-20 minutes is enough,NA
Day 1,worked well for the Smoother Collaboration,I like the focus on project level dependancies as I have had this problem in the past.,NA
Day 1,could be improved for the Smoother Collaboration,maybe some more example on why it could be useful to people's workflow and projects. To understand the importance.,NA
Day 1,worked well for the Networking Activities,It was nice to quickly introduce to many people.,NA
Day 1,could be improved for the Networking Activities,Figuring out how to rotate (:,NA
Day 1,worked well for the Smoother Collaboration,Nice overview of the environment using renv,NA
Day 1,could be improved for the Smoother Collaboration,"Was a bit confusing at first that packages need re-loading in renv, and maybe exactly how linting is used in practice.",NA
Day 1,worked well for the Networking Activities,"Illuminated how others in similar/different fields collaborate, use R and how their workflows are.",NA
Day 1,could be improved for the Networking Activities,Nothing!,NA
Day 1,worked well for the Smoother Collaboration,Generally I think everything works well - loving the code-along sessions,NA
Day 1,could be improved for the Smoother Collaboration,I do not think I have anything on my mind that needs changing,NA
Day 1,worked well for the Networking Activities,It was fun! Also good to discuss the questions with several different people,NA
Day 1,could be improved for the Networking Activities,One needed to shout quite a bit :D,NA
Day 1,worked well for the Smoother Collaboration,I thin the session was fine.,NA
Day 1,worked well for the Networking Activities,They were fun.,NA
Day 1,worked well for the Smoother Collaboration,"It was great that we could follow code on the big screen and course material, help was great fixed a lot of problems. Overall gave a good introduction",NA
Day 1,worked well for the Networking Activities,Nice having lunch with people we didn't sit with during the lessons.,NA
Day 1,could be improved for the Networking Activities,Maybe to repetitive in the circle saying the same things but still nice to talk with some other people,NA
Day 1,worked well for the Smoother Collaboration,That is was possible to follow along reading the website with instructions,NA
Day 1,could be improved for the Smoother Collaboration,Not sure,NA
Day 1,worked well for the Networking Activities,Everything worked well,NA
Day 1,could be improved for the Networking Activities,Nothing to add,NA
Day 1,worked well for the Smoother Collaboration,The stylr worked good for me. Not sure what to use lintr for yet,NA
Day 1,could be improved for the Smoother Collaboration,A lot of time waiting because technical issue. Could be nice with more exercise or activities.,NA
Day 1,worked well for the Networking Activities,Nice to share experiences,NA
Day 1,could be improved for the Networking Activities,A bit too long.,NA
Day 1,worked well for the Smoother Collaboration,"I did not run into any specific issues, most things were very straight forward.",NA
Day 1,could be improved for the Smoother Collaboration,"Maybe considering adding a common mistakes section, to help troubleshoot. Sometimes, i also miss a bit more of an depper explaination of how things work or what happends ""underneath the hood""",NA
Day 1,worked well for the Networking Activities,"It was fun, worked well.",NA
Day 1,could be improved for the Networking Activities,Shorter questions maybe.,NA
Day 1,worked well for the Smoother Collaboration,Getting to think about better ways to collaborate,NA
Day 1,worked well for the Networking Activities,Hearing about the others work and challenges,NA
Day 1,worked well for the Smoother Collaboration,"for me, renv and self contained packages library is one of the important things",NA
Day 1,could be improved for the Smoother Collaboration,Not sure at this stage,NA
Day 1,worked well for the Networking Activities,blood flow in the legs,NA
Day 1,could be improved for the Networking Activities,Nothing fancy,NA
Day 1,worked well for the Smoother Collaboration,"network activities, lunch and code along went smooth",NA
Day 1,could be improved for the Smoother Collaboration,"there was a lot of breaks due to errors, but thats natural being so many people together and dificult to.",NA
Day 1,worked well for the Networking Activities,"there was a bit of cunfusion at first, but it turned out fine in th end. It worked well that people had to be standing, so we wouldnt just be slumped at the tables, and it worked that it was right after lunch. M",NA
Day 1,could be improved for the Networking Activities,"Maybe the 2 mins per person is a bit long, since you wont get to speak to that many people.",NA
Day 1,worked well for the Smoother Collaboration,"I think it worked realy well. Good help when needed, good explanation",NA
Day 1,could be improved for the Smoother Collaboration,Not sure I have anything right now,NA
Day 1,worked well for the Networking Activities,It was a good networking activity to talk to each other but still on a course-related subject. Got some good ideas to what to improve,NA
Day 1,could be improved for the Networking Activities,Remember the acoustics when we are so many talking at once. Maybe better to divide into smaller groups and do the same in two separate rooms now that we actually had that,NA
Day 1,worked well for the Smoother Collaboration,"It was a good session, really enjoyed learning about renv",NA
Day 1,could be improved for the Smoother Collaboration,"Not much, I think it was quite good",NA
Day 1,worked well for the Networking Activities,It was fun and refreshing,NA
Day 1,could be improved for the Networking Activities,Maybe to spread the lines a bit more so you can hear the other person better,NA
Day 1,worked well for the Smoother Collaboration,no error,NA
Day 1,could be improved for the Smoother Collaboration,more exercise,NA
Day 1,worked well for the Networking Activities,like it!,NA
Day 1,could be improved for the Networking Activities,more group exercise!,NA
Day 1,worked well for the Smoother Collaboration,"The nice illustrations, examples",NA
Day 1,could be improved for the Smoother Collaboration,Maybe it would be nice to add a narrative of a project group - to illustrate how it could be beneficial to set up the project like this,NA
Day 1,worked well for the Networking Activities,Provided questions stimulated the discussion,NA
Day 1,could be improved for the Networking Activities,No suggestions - worked well,NA
Day 1,worked well for the Smoother Collaboration,Setup in groups. I also like the use of stickers,NA
Day 1,worked well for the Networking Activities,Social activity was a nice start to meet other participants and share thoughts,NA
Day 1,worked well for the Smoother Collaboration,The website with the course content was really informative and the code all ran well.Loads of really useful content covered!!,NA
Day 1,could be improved for the Smoother Collaboration,The pace was quite slow- but I am not sure how/if it is possible to speed it up,NA
Day 1,worked well for the Networking Activities,Nice to get moving after lunch and chat to new people.,NA
Day 1,could be improved for the Networking Activities,"SOme more questions to discuss would be good, it got a bit repetitive.I think a timed chat would be better than 2 mins per person.",NA
Day 1,worked well for the Smoother Collaboration,Good walkthrough on renv and git/github. Will need to run through the renv again to fully understand.,NA
Day 1,could be improved for the Smoother Collaboration,Sometimes we ran code without much explanation of what the code did.,NA
Day 1,worked well for the Networking Activities,"It was nice speaking to some other participants on the course. The ""talking line"" worked well.",NA
Day 1,could be improved for the Networking Activities,Went well,NA
Day 1,worked well for the Smoother Collaboration,"The code-alongs, and the exercise to see for oneself how the code changes with styler etc",NA
Day 1,worked well for the Networking Activities,The chance to get a different perspective on the reasons of why people attended the course,NA
Day 1,could be improved for the Networking Activities,Maybe a broader set of questions that we could talk about?,NA
