session_name,question,response
Day 2,could be improved for the A general approach to doing statistical analyses,A bit too much background maybe? Just keep relevant workflows for the dataset we are working with.
Day 2,could be improved for the A general approach to doing statistical analyses,A intro of different widely used statistical analyses tool/packages in R
Day 2,could be improved for the A general approach to doing statistical analyses,Also would like to get more practice
Day 2,could be improved for the A general approach to doing statistical analyses,Could be gone through a bit faster in the beginning as parsnip functions are quite simple in the beginning.
Day 2,could be improved for the A general approach to doing statistical analyses,Hard to tell quite yet
Day 2,could be improved for the A general approach to doing statistical analyses,"It was a little difficult to pay attention to ""theory"" so late in the day, but Louise did it in such a way that was VERY engaging"
Day 2,could be improved for the A general approach to doing statistical analyses,"Maybe started a little bit to basic, but at least you get everyone onboard"
Day 2,could be improved for the A general approach to doing statistical analyses,Nothing to add.
Day 2,could be improved for the A general approach to doing statistical analyses,The beginning of the session was abit 'lecture heavy'
Day 2,could be improved for the A general approach to doing statistical analyses,a faster work pace
Day 2,could be improved for the A general approach to doing statistical analyses,"again, maybe the last bit because of it being late."
Day 2,could be improved for the A general approach to doing statistical analyses,"explain more snakecase, I didn't fully understand."
Day 2,could be improved for the A general approach to doing statistical analyses,flow
Day 2,could be improved for the A general approach to doing statistical analyses,it is good as it is
Day 2,could be improved for the A general approach to doing statistical analyses,using the correct data set
Day 2,could be improved for the A general approach to doing statistical analyses,we will se it tomorrow
Day 2,could be improved for the Creating automatic analysis pipelines,For now I don't really know
Day 2,could be improved for the Creating automatic analysis pipelines,Give more examples to practice
Day 2,could be improved for the Creating automatic analysis pipelines,I think small errors that you noticed will be updated in the course material :P
Day 2,could be improved for the Creating automatic analysis pipelines,Maybe a little more applicability to get an overview
Day 2,could be improved for the Creating automatic analysis pipelines,More dataset/visualization
Day 2,could be improved for the Creating automatic analysis pipelines,Nothing
Day 2,could be improved for the Creating automatic analysis pipelines,Nothing to add.
Day 2,could be improved for the Creating automatic analysis pipelines,Nothing!
Day 2,could be improved for the Creating automatic analysis pipelines,We could do more exercise with creating automatic analysis
Day 2,could be improved for the Creating automatic analysis pipelines,"a little less reading and ""background"""
Day 2,could be improved for the Creating automatic analysis pipelines,for it is enough
Day 2,could be improved for the Creating automatic analysis pipelines,"i think everything went fine. Maybe in the last bit it was a lot of talk and not so much coding, which was  a little bit tought since it was late in the day, but besides that i would say nothing"
Day 2,could be improved for the Creating automatic analysis pipelines,"maybe unnecessary to spell out the code right away in the webpage, could be hidden - less temptation to just copy the code and not follow the code-along :)"
Day 2,could be improved for the Creating automatic analysis pipelines,more comprehensive explanation of targets package or prereading task about this session
Day 2,could be improved for the Creating automatic analysis pipelines,no comments
Day 2,could be improved for the Creating automatic analysis pipelines,not a lot
Day 2,could be improved for the Networking Activities,Could be cut by 10 min
