session_name,question,response
"Day 2, afternoon",could be improved for,"I think it was so very confusing, repetitive and to some degree hard to follow why we did things. It was also kinda unstructured, as we did stuff we previously haven't done.."
"Day 2, afternoon",could be improved for,"I think this session moved a bit too fast, and there were very few instances where I was allowed to catch up after an error. Additionally I think this module was mabye a bit to spesific, and I didnt feel like it introduced general principles on how produce reproducible pipelines in R!"
"Day 2, afternoon",could be improved for,"It wasn't obvious to me how to access the model object itself to use it further (e.g., get estimated means)"
"Day 2, afternoon",could be improved for,"It went a little too fast to properly understand what we were doing - we seemed to do several things twice? Maybe more time for this session would be good, as this is definately so usable and it's really a shame to miss out on the understanding because the tempo is a little fast. Also, maybe some more assignments to compliment the code-along?"
"Day 2, afternoon",could be improved for,"It would have been nice with a better visual overview of what we were doing, to be able to refer to where in the process we were. Especially when the session is in the afternoon. Very confusing to keep writing the code in the qmd and then converting to function in functions.R, then testing function in qmd, because it happened so many times. Is it needed to keep writing the code in the qmd before converting to a function every time? Was it done to show the ""standard"" workflow, or is this a requirement before writing a function? I lost track of the overall goal and felt like I was going in circles."
"Day 2, afternoon",could be improved for,"Nothing. I still need to figure out how to apply this to my own data, but I guess that is just time and going home and looking at my own data"
"Day 2, afternoon",could be improved for,The code-along is a little slow for me and I was very far ahead.
"Day 2, afternoon",could be improved for,This was a long day.
"Day 2, afternoon",could be improved for,Tidymodels is initially complex to understand for people that never used it. I think it might help to share some figures/flow-chart to have an overview of how it works.
"Day 2, afternoon",could be improved for,"Would be nice to get an overview of what we want to do in the end with our analysis. It is also likely I missed it - if so, disregard."
"Day 2, afternoon",could be improved for,a bit of more time projecting the functions before execution
"Day 2, afternoon",could be improved for,a lot of type along
"Day 2, afternoon",could be improved for,"it was a liitle littlebit insane with the piping inside the function, but I guess it works!"
"Day 2, afternoon",could be improved for,no comments
"Day 2, afternoon",could be improved for,not much
"Day 2, afternoon",could be improved for,"sometimes it went a bit fast - we went abit back and forth with creating the lipidomics_wide dataframes for analysis, and creating functions for the for the analysis, so that was a bit confusing"
"Day 2, afternoon",worked well for,All the small steps. A lot happens and good to get it one thing at a time.
"Day 2, afternoon",worked well for,Code along - explaining what we do and why we do it
"Day 2, afternoon",worked well for,Coding along was definetly a great help
"Day 2, afternoon",worked well for,Good pace
"Day 2, afternoon",worked well for,I think it was a very relevant example of a workflow
"Day 2, afternoon",worked well for,I think the concept of running the models in a pipeline is good.
"Day 2, afternoon",worked well for,I think the content is extremely useful.
"Day 2, afternoon",worked well for,I think the session was kept on time which I can appreciate
"Day 2, afternoon",worked well for,It all worked well
"Day 2, afternoon",worked well for,Kinda got an understanding of how workflows can be used. Less issues with missing packages than previous session.
"Day 2, afternoon",worked well for,Nice to learn the tidy way to do models
"Day 2, afternoon",worked well for,The pace
"Day 2, afternoon",worked well for,"The topic covered was very interesting and useful, also very well explained."
"Day 2, afternoon",worked well for,creating model workflows was quite informative
"Day 2, afternoon",worked well for,"good, really good!"
"Day 2, afternoon",worked well for,the figure flows were informative together with the instructions
"Day 2, afternoon",worked well for,the flow work well
"Day 2, morning",could be improved for,A few problems related to package installing and typoes making the session feel not very effecient.
"Day 2, morning",could be improved for,A little confusing that packages were not always loaded and installed (but also a learning opportunity I guess)
"Day 2, morning",could be improved for,"Code-a-longs can be prone to a lot of spelling errors. It is hard to program when ""auto complete"" does not work."
"Day 2, morning",could be improved for,I think the example of how Targets works were kinda confusing..
"Day 2, morning",could be improved for,"It took me a long time to understand that there was no output for the _targets.R untill we asked it to read them in the qmd file. This would have been nice to know from the begining, to know what I was looking for during all the way until we did the tar_read funciton."
