session_name,question,response
Day 3,could be improved for the Data visualization,All was good.
Day 3,could be improved for the Data visualization,Even more time spent here! More customisation of specific figures!
Day 3,could be improved for the Data visualization,I cant think of anything to be improved  besides mayby  the excercise 8.5 was too easy when we could copy most of the codes.
Day 3,could be improved for the Data visualization,"I don't have any complains, I found it really useful"
Day 3,could be improved for the Data visualization,I don't know
Day 3,could be improved for the Data visualization,I don't know.
Day 3,could be improved for the Data visualization,Improved
Day 3,could be improved for the Data visualization,"Including more analysis for principle component analysis (PCA), PLS-DA, Heatmap analysis and etc, might improve it."
Day 3,could be improved for the Data visualization,It was a shame that we were behind schedule so some of the session was a bit rushed
Day 3,could be improved for the Data visualization,May be a bit more time in coding along would have been helpful
Day 3,could be improved for the Data visualization,Maybe dedicate more time working on this topic.
Day 3,could be improved for the Data visualization,More time to try to create and change graphs.
Day 3,could be improved for the Data visualization,"Nothing really, it could be longer. Maybe you could add some examples of ""how you we (as teachers) use RStudio in our workflow"". E.g. when do you code in your script-file and when do you ""try it out"" in your markdown file and see the outputs. Do you do a lot of switching back and forth or do you finish the entire code before using markdown."
Day 3,could be improved for the Data visualization,Nothing to add.
Day 3,could be improved for the Data visualization,"Remember to show how to put names at X and Y axis. That is important for ""nice"" graphs."
Day 3,could be improved for the Data visualization,This session should last longer! :D
Day 3,could be improved for the Data visualization,"Whilst I understand that it should be towards the end of the course, with all the basics being taught prior, it might be nice to have more emphasise on them as it is one of the most important aspect/reason for attending the R course"
Day 3,could be improved for the Data visualization,a bit more time to do the exercises
Day 3,could be improved for the Data visualization,even more aspects. Creating your own theme.
Day 3,could be improved for the Data visualization,nothing
Day 3,could be improved for the Data visualization,too short
Day 3,could be improved for the Data visualization,was great
Day 3,could be improved for the Data visualization,x
Day 3,could be improved for the group project assignment,A little more time.
Day 3,could be improved for the group project assignment,Either the assignment was to vague and undefined or we had to little time and to little supervision.
Day 3,could be improved for the group project assignment,Get a bit more time to finish the final report
Day 3,could be improved for the group project assignment,"Hmm, I think it's good as it is."
Day 3,could be improved for the group project assignment,"I only think that 30 more minutes of project could have benefit most of the projects, but i also understand that the point of the session is just to check if our documents were reproducible"
