questions,responses,count
What is your formal position?,PhD student,19
What is your formal position?,Postdoc,2
What is your formal position?,Pre-PhD,1
What is your formal position?,Research assistant,3
What is your formal position?,Research year student,2
What is your formal position?,Researcher,1
What city do you work in or near?,Aarhus,14
What city do you work in or near?,Berlin,1
What city do you work in or near?,Copenhagen,7
What city do you work in or near?,Odense,6
How do you perceive your skill/knowledge of [using R?],Beginner,15
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of [using R?],Intermediate,1
How do you perceive your skill/knowledge of [using R?],Intermediate-Advanced,1
What programs have you previously used for data analysis?,Excel,5
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",6
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, R",1
What programs have you previously used for data analysis?,"Excel, None",1
What programs have you previously used for data analysis?,"Excel, Python",1
What programs have you previously used for data analysis?,"Excel, R",1
What programs have you previously used for data analysis?,"Excel, R and Python",1
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, Python, R",1
What programs have you previously used for data analysis?,Stata,1
What programs have you previously used for data analysis?,"Stata, Excel",1
What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",4
What programs have you previously used for data analysis?,"Stata, Excel, SigmaPlot, GraphPad Prism",1
What programs have you previously used for data analysis?,"Stata, R",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,28
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,12
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,5
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of [programming in general?],Beginner,19
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of [programming in general?],Intermediate,3
How do you perceive your skill/knowledge of [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,27
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Intermediate-Advanced,1
What gender do you identify with?,Man,11
What gender do you identify with?,Woman,17
