questions,responses,count
What gender do you identify with?,Man,13
What gender do you identify with?,Woman,13
What is your formal position?,Assistant Professor,1
What is your formal position?,PhD student,9
What is your formal position?,Postdoc,15
What is your formal position?,Research assistant,1
What city do you work in or nearest to?,Aarhus,4
What city do you work in or nearest to?,Copenhagen,18
What city do you work in or nearest to?,Odense,2
What city do you work in or nearest to?,Potsdam / Germany,1
What city do you work in or nearest to?,Stockholm,1
How do you perceive your skill/knowledge of... [using R?],Advanced,1
How do you perceive your skill/knowledge of... [using R?],Beginner,1
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of... [using R?],Intermediate,12
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,9
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,8
How do you perceive your skill/knowledge of... [programming in general?],Beginner,4
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,8
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Beginner,5
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Intermediate,8
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,10
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate,3
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [collaborating through Git?],Beginner,13
How do you perceive your skill/knowledge of... [collaborating through Git?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of... [collaborating through Git?],Intermediate,3
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Advanced,1
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,7
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,4
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,3
How often do you currently use: [tidyverse],Daily,9
How often do you currently use: [tidyverse],Few times a month,4
How often do you currently use: [tidyverse],Few times a week,5
How often do you currently use: [tidyverse],Never,2
How often do you currently use: [tidyverse],Once a month,1
How often do you currently use: [tidyverse],Once a week,5
How often do you currently use: [GitHub/GitLab and Git],Daily,1
How often do you currently use: [GitHub/GitLab and Git],Few times a month,8
How often do you currently use: [GitHub/GitLab and Git],Few times a week,1
How often do you currently use: [GitHub/GitLab and Git],Never,10
How often do you currently use: [GitHub/GitLab and Git],Once a month,1
How often do you currently use: [GitHub/GitLab and Git],Once a week,5
How often do you currently use: [R Markdown/Quarto],Daily,6
How often do you currently use: [R Markdown/Quarto],Few times a month,3
How often do you currently use: [R Markdown/Quarto],Few times a week,2
How often do you currently use: [R Markdown/Quarto],Never,8
How often do you currently use: [R Markdown/Quarto],Once a month,3
How often do you currently use: [R Markdown/Quarto],Once a week,4
How often do you currently use: [purrr],Daily,2
How often do you currently use: [purrr],Few times a month,5
How often do you currently use: [purrr],Never,11
How often do you currently use: [purrr],Once a month,7
How often do you currently use: [purrr],Once a week,1
How often do you currently use: [renv],Few times a month,2
How often do you currently use: [renv],Never,23
How often do you currently use: [renv],Once a month,1
How often do you currently use: [targets],Never,25
How often do you currently use: [targets],Once a month,1
How often do you currently use: [styler],Never,23
How often do you currently use: [styler],Once a month,3
How often do you currently use: [lintr],Never,25
How often do you currently use: [lintr],Once a month,1
How often do you currently use: [tidymodels],Few times a month,2
How often do you currently use: [tidymodels],Never,21
How often do you currently use: [tidymodels],Once a month,2
How often do you currently use: [tidymodels],Once a week,1
What programs have you previously used for data analysis?,Excel,1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Perseus",1
What programs have you previously used for data analysis?,"Excel, R",1
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,"GraphPad Prism, Rstudio",1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",3
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, GraphPad Prism",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Stata, Matlab",1
What programs have you previously used for data analysis?,SPSS,2
What programs have you previously used for data analysis?,"SPSS, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,"SPSS, GraphPad Prism",2
What programs have you previously used for data analysis?,"SPSS, Python, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,Stata,1
What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,26
