statement,response,n
I think I learned a lot from this course,Agree,2
I think I learned a lot from this course,Strongly agree,12
I think the content on the website clearly communicated the concepts,Agree,4
I think the content on the website clearly communicated the concepts,Strongly agree,10
I think the instructors clearly communicated the concepts,Agree,6
I think the instructors clearly communicated the concepts,Strongly agree,8
I think there was a good mix of learning activities that encouraged my active participation,Agree,4
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,10
I think there was good alignment between the learning activities,Agree,4
I think there was good alignment between the learning activities,Strongly agree,10
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,4
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,2
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,8
"In general, I think this is a good course",Agree,1
"In general, I think this is a good course",Strongly agree,13
