session_name,question,response,course_name
"Day 1, afternoon",worked well for,"Clear, quick help",Intermediate
"Day 1, afternoon",could be improved for,"Not much, worked well",Intermediate
"Day 1, afternoon",worked well for,It was very well explained and documented,Intermediate
"Day 1, afternoon",could be improved for,I think it was pretty well constructed,Intermediate
"Day 1, afternoon",worked well for,Good exercises,Intermediate
"Day 1, afternoon",could be improved for,"Move faster forward, less typing together",Intermediate
"Day 1, afternoon",worked well for,The support of the trainers,Intermediate
"Day 1, afternoon",could be improved for,A bit more of time to do the training exercises,Intermediate
"Day 1, afternoon",worked well for,Code along,Intermediate
"Day 1, afternoon",could be improved for,dunno,Intermediate
"Day 1, afternoon",worked well for,"The structure - lessons, exercise and discussing.",Intermediate
"Day 1, afternoon",could be improved for,No comments,Intermediate
"Day 1, afternoon",worked well for,Code along sessions.,Intermediate
"Day 1, afternoon",could be improved for,"I would like a little bit more information on the functions and the argument part. Maybe try to read a function in words ""i am telling R, to find X and read Y"" etc.",Intermediate
"Day 1, afternoon",worked well for,The formatting and storing/sourcing of the functions. The exercise.,Intermediate
"Day 1, afternoon",could be improved for,The 30min task did not take 30min; more like 15min,Intermediate
"Day 1, afternoon",worked well for,Time to solve the exercise by yourself was good,Intermediate
"Day 1, afternoon",could be improved for,Nothing :-),Intermediate
"Day 1, afternoon",worked well for,Exercises repeating the code-along,Intermediate
"Day 1, afternoon",worked well for,everything was perfect. thank you!,Intermediate
"Day 1, afternoon",could be improved for,nothing,Intermediate
"Day 1, afternoon",worked well for,The tempo was better than the first session. Good exercises. Great explanations. Very useful in my everyday work.,Intermediate
"Day 1, afternoon",worked well for,"A bit more spedy session, it was nice to start coding after a bit slow start yesterday",Intermediate
"Day 1, afternoon",could be improved for,it was nice,Intermediate
"Day 1, afternoon",worked well for,The basic information on data dependency and the issues of loading packages from library was really nice. Also having a separate function sheet was a great tip.,Intermediate
"Day 1, afternoon",could be improved for,All good.,Intermediate
"Day 1, afternoon",worked well for,Nice to repeat the different tasks to get to do it a few times. Again the slow pace was nice,Intermediate
"Day 1, afternoon",could be improved for,noting :-),Intermediate
"Day 1, afternoon",worked well for,"Code along, description of what to remember for guides",Intermediate
"Day 1, afternoon",could be improved for,Session was good. Is it possible to link to an overall guide for more complex functions? Or to provide some examples for this,Intermediate
"Day 1, afternoon",worked well for,Good with exercises and repetition,Intermediate
"Day 1, afternoon",could be improved for,I think some of the reading sessions are a bit hard to understand (if you are a complete beginner at least). Maybe a bit more explanation.,Intermediate
"Day 1, afternoon",worked well for,Code-along followed by practice on my own. I appreciate the chance to try it myself.,Intermediate
"Day 1, afternoon",could be improved for,No improvements I can think of,Intermediate
"Day 1, afternoon",worked well for,"Learning functions, sourcing them and importing functions",Intermediate
"Day 1, afternoon",could be improved for,It was great and might be bit overwhelming for beginners (not me),Intermediate
"Day 1, afternoon",worked well for,Great introduction to functions. Good time for the exercises especially 6.6,Intermediate
"Day 1, afternoon",could be improved for,More detail about how to identify which package a function is from.,Intermediate
"Day 1, afternoon",worked well for,Exercises where you could practice making functionals.,Intermediate
"Day 1, afternoon",could be improved for,Do not know.,Intermediate
"Day 1, afternoon",worked well for,"Nice with a individual exercise with different datasets to get the functions ""into the hands""",Intermediate
"Day 1, afternoon",could be improved for,"Maybe a list of the base functions (fx ""return"")",Intermediate
"Day 1, afternoon",worked well for,"easy to follow, good pace, especially important to do the exercise in the end which helps to see whether the info has really been understood",Intermediate
"Day 1, afternoon",could be improved for,i think it was great!,Intermediate
"Day 1, afternoon",worked well for,"It was nice with a bit larger exercise, where we also had to use what we did yesterday.",Intermediate
"Day 1, afternoon",could be improved for,Day 1 could have been a bit faster.,Intermediate
"Day 1, afternoon",worked well for,Questions were answered nicely and clearly,Intermediate
"Day 1, afternoon",could be improved for,"maybe more detailed explanation can be given when you start teaching new thing, but everything is fine",Intermediate
"Day 1, afternoon",worked well for,"The tempo was super great. I understand functions much better now, and there were no long pauses of sitting around.",Intermediate
"Day 1, afternoon",could be improved for,"For me, I still don't know what to use functions for in my work. But there was provided a lot of examples, so I don't really know how it could be improved. Maybe some more ""everyday"" scenarios, or just alternative things to use functions for.",Intermediate
"Day 1, afternoon",worked well for,Good explanations of functions,Intermediate
"Day 1, afternoon",could be improved for,just enough time for the exercise,Intermediate
