session_name,question,response,course_name
"Day 1, morning",worked well for,The last part with importing data,Intermediate
"Day 1, morning",could be improved for,Very slow start,Intermediate
"Day 1, morning",worked well for,Everything,Intermediate
"Day 1, morning",could be improved for,Nothing,Intermediate
"Day 1, morning",worked well for,Everything - really liked the hats on the laptops and the pace was perfect with good explanations at every step,Intermediate
"Day 1, morning",worked well for,The origami hats! Awesome. All of the day.,Intermediate
"Day 1, morning",could be improved for,Reduce some waiting time; maybe extra assignments or fun facts?,Intermediate
"Day 1, morning",worked well for,The support from the instructors solving individual issues,Intermediate
"Day 1, morning",could be improved for,The beginning was too slow,Intermediate
"Day 1, morning",worked well for,Nice tempo/pace. Great exercises.,Intermediate
"Day 1, morning",could be improved for,Took some time to set everyone up. Hard to do much about.,Intermediate
"Day 1, morning",worked well for,I think the exercises were very easy to follow for the beginner and it was well explained each part what is used for.,Intermediate
"Day 1, morning",could be improved for,"Some of the people are in more advanced state, so a lot of times it felt a bit too slow in progress",Intermediate
"Day 1, morning",worked well for,The helper explanations,Intermediate
"Day 1, morning",could be improved for,Maybe to explain a bit more the meaning of each steps and coding. To repeat it in order to record it better,Intermediate
"Day 1, morning",worked well for,"Fair tempo. Nice with both some ""code-along"" and some individual coding.",Intermediate
"Day 1, morning",could be improved for,Not much.,Intermediate
"Day 1, morning",worked well for,The step-by-step code-alongs worked really nicely.,Intermediate
"Day 1, morning",could be improved for,"Given that this is an intermediate course, it would be nice to move a little faster sometimes. Of course, everyone should be able to follow along, but most of the people who are lagging in the course are those who may not have had prior experience with R, making the day a little slow.",Intermediate
"Day 1, morning",worked well for,"Very varying session types, which was great. Especially starting the day with estabilishing levels. Hats work great. Giving us time to think before discussion is great - and very rearly utilized by teachers. Time for socialising outdoors is great after lunch.",Intermediate
"Day 1, morning",could be improved for,Not really any suggestions.,Intermediate
"Day 1, morning",worked well for,Detailed instructions,Intermediate
"Day 1, morning",could be improved for,"A bit slow, maybe a bit longer exercises where you work on your own / in groups.",Intermediate
"Day 1, morning",worked well for,Nice workflow with switch between individual exercise and plenum lectures,Intermediate
"Day 1, morning",could be improved for,"It could be nice with a paper with all the ""genvejsknapper"" for Windows/Mac",Intermediate
"Day 1, morning",worked well for,Hats worked perfect :-) good pace - room to actually understand the code,Intermediate
"Day 1, morning",could be improved for,"Shorter breaks would be fine, maybe speed up a tiny bit",Intermediate
"Day 1, morning",worked well for,"I appreciate the code-along sessions followed by trying to develop the code myself. I don't know how easy the hats are for the instructors to see, but I like having a way to show if I was successful with a step or not.",Intermediate
"Day 1, morning",could be improved for,I don't have any suggestions for improvement at this stage.,Intermediate
"Day 1, morning",worked well for,The code along sessions are great. I really like that format.,Intermediate
"Day 1, morning",could be improved for,Not 100% sure how exactly the back and forward thing does work.,Intermediate
"Day 1, morning",worked well for,The tempo of the day was really nice - nice and slow to get everyone started,Intermediate
"Day 1, morning",could be improved for,maybe the hats? dont know how visible they were for the instructors. Having the option to check into the hotel the day before so that everyone can be there from the start and are not affected by the poor public transport on the day,Intermediate
"Day 1, morning",worked well for,The code along was nice.The hats worked,Intermediate
"Day 1, morning",could be improved for,"Perhaps pointing out what the end goal was - my codes worked, but I was a bit confused as to why I was doing them :)",Intermediate
"Day 1, morning",worked well for,Type along.  hats worked fine,Intermediate
"Day 1, morning",could be improved for,A bit faster ?,Intermediate
"Day 1, morning",worked well for,"Good assistance from the teachers, code_along worked fine. Orange hat system workede",Intermediate
