session_name,question,response
Day 2,could be improved for the Processing and joining datasets for cleaning,A bit more introduction in the code-along on the overall purpose.
Day 2,could be improved for the Processing and joining datasets for cleaning,"Again, could increase the pace a bit, as its easy to loose focus throughout the sessions"
Day 2,could be improved for the Processing and joining datasets for cleaning,"As mentioned earlier: please, just add more details on the sessions into the program as I felt little lost in exercises. Further, please try to use standard English and be more clear as it was little hard to understand the aim or what is required to perform the tasks."
Day 2,could be improved for the Processing and joining datasets for cleaning,For me the spring cleaning and importing data again went too fast
Day 2,could be improved for the Processing and joining datasets for cleaning,Going a little more into why we separate the Rmd and script file
Day 2,could be improved for the Processing and joining datasets for cleaning,"It helps seeing the overall workflow but perhaps more words on why its done like that, why deleting everything  and  using mmash and not lesson"
Day 2,could be improved for the Processing and joining datasets for cleaning,It was good
Day 2,could be improved for the Processing and joining datasets for cleaning,Maybe a recap at the end of the day of the two days.
Day 2,could be improved for the Processing and joining datasets for cleaning,Maybe an exercise were you have to think about which join you should make
Day 2,could be improved for the Processing and joining datasets for cleaning,Maybe just start the day with spending 10 min to repeat what we learned yesterday
Day 2,could be improved for the Processing and joining datasets for cleaning,More time
Day 2,could be improved for the Processing and joining datasets for cleaning,Not specifically for this session but I forgot to add to day 1 that it would be nice to see how to import multiple csv files to project folder (and not just from the link)..
Day 2,could be improved for the Processing and joining datasets for cleaning,"Some tools used (eg. regex) feels rather advanced (I could probably not apply it on my own data without help). Nice to have the concept explained, but is there a simpler way of doing the task solved by the regex that could have been applied?"
Day 2,could be improved for the Processing and joining datasets for cleaning,The answer is the same. Less basic about coding and more on how to project manage in R.
Day 2,could be improved for the Processing and joining datasets for cleaning,Things felt a little rushed at the end.
Day 2,could be improved for the Processing and joining datasets for cleaning,no idea
Day 2,could be improved for the Processing and joining datasets for cleaning,nothing
Day 2,could be improved for the Processing and joining datasets for cleaning,"same issue, I suggest to reduce same practice or reduce time."
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","I could use a shorten overview of what we have done. Like 1) Make a function to import data, 2) make a function that import multiple files, 3) import datasets, 4) make a function that extract user_id, 5) join dataset...."
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",I would like to also practise creating functions with more data analysis related issues and not just importing - in order to apply it more to my own projects.
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","I would like to suggest to reduce the similar practice, I feel it is not very necessary to use same method work on different datasets."
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",If first introducing the session and then perform the exercise
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","It was hard to follow. There was a lot of going back and forth between programs and there if you fell behind it was difficult to catch up. So better structure and slower, please:)"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","It was really really slow - a lot of repetition of the same exercises, which in general is useful, but in my opinion was quite elongated this time - an exercise that was 'assigned' 15 min extended to 45 min and then additional 30 min to go through it on the screen, and then after lunch repeat some of it again"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","More excersises where you need to ""think"" more and solve a question that is not only repetation"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",More time
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",More time could have been spent on introduction to the tidyverse operators. Also the code-alongs went a little too fast in this section.
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","Online, there was a good description of the difference between loops and map, but the presentation of it was not very clear"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Perfect!
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",See above.
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","Sometimes it was quite fast, I lost track what of what we are doing"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",The speed. Less time on how to code (as much of it is just repeating code just written) and more git and project setup.
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Was good.
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",nothing
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","please, just add more details on the sessions into the program as I felt little lost in exercises. Further, please try to use standard English and be more clear as it was little hard to understand the aim or what is required to perform the tasks."
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","presentation by instructor, more structure and slower pace"
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals","very difficult, hard to keep a proper pace to be able to code along. Not sure I totally understand it yet"
Day 2,worked well for the Processing and joining datasets for cleaning,"Again, the packages that ease coding and gives short-cuts."
Day 2,worked well for the Processing and joining datasets for cleaning,Clear explanations of concepts.
Day 2,worked well for the Processing and joining datasets for cleaning,"Clear presented, time enough to code along"
Day 2,worked well for the Processing and joining datasets for cleaning,Excercise 10.3 was a fun challenge and regex a new thing to me.
Day 2,worked well for the Processing and joining datasets for cleaning,Getting an overview of the entire workflow and deleting a lot from the lesson.rmd file
Day 2,worked well for the Processing and joining datasets for cleaning,"Good explanations, getting help fast when needed"
Day 2,worked well for the Processing and joining datasets for cleaning,Good structure and pace.
Day 2,worked well for the Processing and joining datasets for cleaning,Good to show an illustration of the joining concepts.
Day 2,worked well for the Processing and joining datasets for cleaning,"In general, just a really nice course day. I learned so much!"
Day 2,worked well for the Processing and joining datasets for cleaning,It was fine
Day 2,worked well for the Processing and joining datasets for cleaning,Really nice to learn to joing all files to one and also the fact that some of the files needed summary stats before joining.
Day 2,worked well for the Processing and joining datasets for cleaning,"Same as above, really good material, easily understandable and useful"
Day 2,worked well for the Processing and joining datasets for cleaning,Showing examples for when something is not as it is supposed to be and how to fix it.
Day 2,worked well for the Processing and joining datasets for cleaning,That I got a good introduction to the reduce function
Day 2,worked well for the Processing and joining datasets for cleaning,The text on the website and the presentation The part with erasing everything in the lesson document and cleaning up was also very good.
Day 2,worked well for the Processing and joining datasets for cleaning,Worked well
Day 2,worked well for the Processing and joining datasets for cleaning,code alongs
Day 2,worked well for the Processing and joining datasets for cleaning,good to learn about joining and also putting it in functions
Day 2,worked well for the Processing and joining datasets for cleaning,most
Day 2,worked well for the Processing and joining datasets for cleaning,"organized well, clear and understandable"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Good explanations, getting help fast when needed"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Great with emphasis on not moving functions to functions.R before we were sure everything worked.
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",I think the explanation of map was spot on. Never really understood how it worked before.
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","In general, just a really nice course day. I learned so much!"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Packages for managing data. In general, it is not the methods as much as it is seeing how a project can be set up."
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Repeating making functions! Really git it into your fingers.
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",Session worked well. Even more examples would have been nice before starting eith the exercises though.
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","Technical problems, but teaching was fine"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",That it was a next step from the previous day continuing with the import of data
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",That we wrote several functions
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","The introduction to functionals was really good and also the exercises, where we had to try it out."
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","The outline of the material was great, learned a good bit of useful workflow"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",The time where we work alone with exercises.
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",The topic was useful
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",code alongs
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",intersting topic
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",it was fine
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals","organized well, easy to follow"
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",using map to see import multiple files and to get introduced to functionals
Day 2,"worked well for the Save time, don’t repeat yourself: Using functionals",web material
Day 3,could be improved for the Quickly re-arranging data with pivots,Even more tricks for R markdown - but that is maybe outside the course scope
Day 3,could be improved for the Quickly re-arranging data with pivots,I bit more optional exercises.
Day 3,could be improved for the Quickly re-arranging data with pivots,"If possible standig up and looking at audience is very powerful when presenting (I know you also have to type, but maybe mixing it a bit?)"
Day 3,could be improved for the Quickly re-arranging data with pivots,It could be good to have another example of two datasets where pivot longer and wider could be used that we have to type out ourself.
Day 3,could be improved for the Quickly re-arranging data with pivots,It was good
